Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR0P5291241,Hutchinson Toyota of Albany,GA
2023,TRD Sport,Lunar Rock,4x2,43015,1495.0,44510.0,Factory to port,True,DealerHold,JTEAU5JR0P5294169,Price LeBlanc Toyota,LA
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR0P5294219,Joe Myers Toyota,TX
2023,TRD Sport,Midnight Black Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR0P5294284,Toyota of Pharr,TX
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR0P5294379,I-95 Toyota of Brunswick,GA
2023,TRD Sport,Ice Cap,4x2,43015,3190.0,46205.0,Factory to port,False,Available,JTEAU5JR1P5294259,Lone Star Toyota of Lewisville,TX
2023,TRD Sport,Classic Silver Metallic,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR2P5291788,Hendrick Toyota North Charleston,SC
2023,TRD Sport,Classic Silver Metallic,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR2P5292777,Toyota of Melbourne,FL
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,Factory to port,False,DealerHold,JTEAU5JR2P5293248,Fred Haas Toyota Country,TX
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,Factory to port,True,DealerHold,JTEAU5JR2P5293363,Brownsville Toyota,TX
2023,TRD Sport,Classic Silver Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR2P5294531,Toyota of Rock Hill,SC
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR2P5294545,Toyota of Melbourne,FL
2023,TRD Sport,Midnight Black Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR2P5294626,Cherokee County Toyota,GA
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR3P5294036,Vic Vaughan Toyota of Boerne,TX
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,0.0,43015.0,Factory to port,True,DealerHold,JTEAU5JR3P5294229,Brownsville Toyota,TX
2023,TRD Sport,Midnight Black Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR3P5294344,Toyota of Deerfield Beach,FL
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR3P5294408,Rick Hendrick Toyota Sandy Springs,GA
2023,TRD Sport,Magnetic Gray Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR3P5294439,Limbaugh Toyota,AL
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR3P5294442,Toyota of Hollywood,FL
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR4P5292022,Heyward Allen Toyota,GA
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,At dealer,False,,JTEAU5JR4P5292506,Palmer's Airport Toyota,AL
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR4P5292862,Don McGill Toyota of Katy,TX
2023,TRD Sport,Lunar Rock,4x2,43015,1495.0,44510.0,Factory to port,True,DealerHold,JTEAU5JR4P5292909,Price LeBlanc Toyota,LA
2023,TRD Sport,Lunar Rock,4x2,43015,1098.0,44113.0,Factory to port,False,DealerHold,JTEAU5JR4P5292926,Toyota of Cedar Park,TX
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR4P5292943,Mike Calvert Toyota,TX
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,1995.0,45010.0,At dealer,False,Available,JTEAU5JR4P5292991,Cavender Toyota,TX
2023,TRD Sport,Lunar Rock,4x2,43015,2995.0,46010.0,Factory to port,True,Available,JTEAU5JR4P5293252,Bryan College Station Toyota,TX
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR4P5293896,Toyota of Fort Walton Beach,FL
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR4P5293932,AutoNation Toyota Gulf Freeway,TX
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR4P5294126,Nalley Toyota of Roswell,GA
2023,TRD Sport,Midnight Black Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR4P5294790,Town & Country Toyota,NC
2023,TRD Sport,Midnight Black Metallic,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR5P5291140,John Harvey Toyota,LA
2023,TRD Sport,Magnetic Gray Metallic,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR5P5292451,Village Cadillac-Toyota,FL
2023,TRD Sport,Lime Rush,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR5P5292689,Toyota of Greenville,SC
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,0.0,43015.0,Port to dealer,False,Available,JTEAU5JR5P5292952,Bert Ogden Toyota of Harlingen,TX
2023,TRD Sport,Lunar Rock,4x2,43015,4979.0,47994.0,Factory to port,False,DealerHold,JTEAU5JR5P5293289,Joe Myers Toyota,TX
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR5P5293759,Lowe Toyota of Warner Robins,GA
2023,TRD Sport,Lunar Rock,4x2,43015,499.0,43514.0,Factory to port,False,Available,JTEAU5JR5P5293857,Caldwell Toyota,AR
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR5P5293969,Toyota of Clermont,FL
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR5P5294278,Cobb County Toyota,GA
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR6P5291664,Trotter Toyota,AR
2023,TRD Sport,Lunar Rock,4x2,43015,2299.0,45314.0,Port to dealer,False,Available,JTEAU5JR6P5293043,Round Rock Toyota,TX
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR6P5294032,Toyota of Dothan,AL
2023,TRD Sport,Magnetic Gray Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR6P5294337,Mike Calvert Toyota,TX
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR6P5294614,Greenville Toyota,NC
2023,TRD Sport,Magnetic Gray Metallic,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR7P5293746,Jim Hudson Toyota,SC
2023,TRD Sport,Nautical Blue Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR7P5294251,Alamo Toyota,TX
2023,TRD Sport,Lime Rush,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR8P5291049,Gregg Orr Toyota,AR
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR8P5292797,Fox Toyota of El Paso,TX
2023,TRD Sport,Nautical Blue Metallic,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR8P5292931,World Toyota,GA
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR8P5293836,Scott Clark Toyota,NC
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR8P5294436,South Dade Toyota,FL
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,Factory to port,True,Available,JTEAU5JR9P5293053,Sterling McCall Toyota Fort Bend,TX
2023,TRD Sport,Ice Cap,4x2,43015,2995.0,46010.0,Factory to port,False,Available,JTEAU5JR9P5293098,Classic Toyota,TX
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,3490.0,46505.0,Factory to port,False,Available,JTEAU5JR9P5293117,Toyota of Pharr,TX
2023,TRD Sport,Lunar Rock,4x2,43015,5895.0,48910.0,At dealer,False,Available,JTEAU5JR9P5293277,Toyota of Midland,TX
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JR9P5293781,South Dade Toyota,FL
2023,TRD Sport,Ice Cap,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JR9P5294817,Hendrick Toyota North Charleston,SC
2023,TRD Sport,Midnight Black Metallic,4x2,43015,0.0,43015.0,Factory to port,True,Available,JTEAU5JRXP5292235,Van-Trow Toyota,LA
2023,TRD Sport,Barcelona Red Metallic,4x2,43015,0.0,43015.0,At dealer,False,Available,JTEAU5JRXP5292722,Hendrick Toyota Wilmington,NC
2023,TRD Sport,Classic Silver Metallic,4x2,43015,3190.0,46205.0,Factory to port,False,Available,JTEAU5JRXP5293675,Lone Star Toyota of Lewisville,TX
2023,TRD Sport,Lunar Rock,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JRXP5293952,Gulf Coast Toyota,TX
2023,TRD Sport,Classic Silver Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JRXP5294311,Universal Toyota,TX
2023,TRD Sport,Nautical Blue Metallic,4x2,43015,0.0,43015.0,Factory to port,False,Available,JTEAU5JRXP5294406,Toyota of Melbourne,FL
2023,Limited,Midnight Black Metallic,4x2,49390,0.0,49390.0,At dealer,False,Available,JTEDU5JR0P5290958,Scott Will Toyota of Sumter,SC
2023,Limited,Blizzard Pearl,4x2,49390,0.0,49390.0,At dealer,False,Available,JTEDU5JR0P5292029,Village Cadillac-Toyota,FL
2023,Limited,Midnight Black Metallic,4x2,49390,0.0,49390.0,At dealer,False,Available,JTEDU5JR0P5292385,Arlington Toyota,FL
2023,Limited,Blizzard Pearl,4x2,49390,0.0,49390.0,At dealer,False,,JTEDU5JR0P5292757,Springhill Toyota,AL
2023,Limited,Blizzard Pearl,4x2,49390,0.0,49390.0,At dealer,False,,JTEDU5JR0P5292774,World Toyota,GA
