Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Limited,Elemental Silver Metallic,FWD,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA006304,City Toyota,CA
2023,Limited,Wind Chill Pearl with Black roof,FWD,46700,0.0,46700.0,At dealer,False,Available,JTMAAAAA0PA007341,City Toyota,CA
2023,Limited,Wind Chill Pearl with Black roof,FWD,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA007372,Putnam Toyota,CA
2023,Limited,Elemental Silver Metallic,FWD,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA007422,Santa Margarita Toyota,CA
2023,Limited,Black,FWD,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA007498,Envision Toyota of West Covina,CA
2023,XLE,Elemental Silver Metallic,FWD,42000,0.0,42000.0,At dealer,False,DealerHold,JTMAAAAA0PA008652,Mojave Toyota of Barstow,CA
2023,XLE,Wind Chill Pearl,FWD,42000,0.0,42000.0,At dealer,False,Available,JTMAAAAA0PA008862,Temecula Valley Toyota,CA
2023,Limited,Elemental Silver Metallic with Black roof,FWD,46700,0.0,46700.0,At dealer,False,Available,JTMAAAAA0PA008912,Marshall Dry Ridge Toyota,KY
2023,Limited,Wind Chill Pearl with Black roof,FWD,46700,0.0,46700.0,At dealer,False,DealerHold,JTMAAAAA0PA010708,Toyota of Downtown LA,CA
2023,XLE,Wind Chill Pearl,FWD,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA012099,City Toyota,CA
2023,Limited,Elemental Silver Metallic with Black roof,FWD,46700,1443.0,48143.0,At dealer,False,,JTMAAAAA0PA012894,Toyota of Lancaster,CA
2023,Limited,Black,FWD,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA012913,DCH Toyota of Oxnard,CA
2023,Limited,Heavy Metal with Black roof,FWD,46700,0.0,46700.0,Port to dealer,False,,JTMAAAAA0PA012989,Toyota Santa Monica,CA
2023,Limited,Wind Chill Pearl with Black roof,FWD,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA013009,Longo Toyota,CA
2023,XLE,Black,FWD,42000,0.0,42000.0,At dealer,False,,JTMAAAAA0PA013107,Envision Toyota of West Covina,CA
2023,Limited,Wind Chill Pearl with Black roof,FWD,46700,0.0,46700.0,At dealer,False,,JTMAAAAA0PA013155,Toyota of Downtown LA,CA
2023,Limited,Wind Chill Pearl with Black roof,FWD,46700,0.0,46700.0,Factory to port,False,,JTMAAAAA0PA013897,Cabe Toyota Long Beach,CA
2023,Limited,Wind Chill Pearl with Black roof,FWD,46700,0.0,46700.0,Factory to port,False,,JTMAAAAA0PA014032,South Bay Toyota,CA
2023,XLE,Black,FWD,42000,0.0,42000.0,Factory to port,False,,JTMAAAAA0PA014709,San Francisco Toyota,CA
2023,Limited,Wind Chill Pearl,FWD,46700,0.0,46700.0,At dealer,False,,JTMAAAAA1PA005629,North Bakersfield Toyota,CA
2023,XLE,Heavy Metal,FWD,42000,0.0,42000.0,At dealer,False,,JTMAAAAA1PA007722,Toyota San Luis Obispo,CA
2023,XLE,Wind Chill Pearl,FWD,42000,0.0,42000.0,At dealer,False,,JTMAAAAA1PA007803,North Bakersfield Toyota,CA
2023,XLE,Wind Chill Pearl,FWD,42000,0.0,42000.0,At dealer,False,Available,JTMAAAAA1PA007980,Toyota Santa Monica,CA
2023,Limited,Elemental Silver Metallic with Black roof,FWD,46700,0.0,46700.0,At dealer,False,Available,JTMAAAAA1PA008045,Monken Toyota of Mt. Vernon,IL
2023,Limited,Heavy Metal with Black roof,FWD,46700,0.0,46700.0,At dealer,False,,JTMAAAAA1PA008238,Firelands Toyota,OH
