Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Factory to port,False,Available,4T1C31AK0PU054617,Toyota of Rockwall,TX
2023,Camry LE Hybrid,Ice Edge,FWD,28655,0.0,28655.0,Port to dealer,False,DealerHold,4T1C31AK0PU054889,Walser Bloomington Toyota,MN
2023,Camry LE Hybrid,Ice Cap,FWD,28655,0.0,28655.0,Port to dealer,False,DealerHold,4T1C31AK0PU054892,McGee Toyota,MA
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Port to dealer,True,Available,4T1C31AK0PU055024,Hartford Toyota,CT
2023,Camry LE Hybrid,Ice Edge,FWD,28655,0.0,28655.0,At dealer,False,DealerHold,4T1C31AK0PU055122,Toyota Direct,OH
2023,Camry LE Hybrid,Ice Edge,FWD,28655,0.0,28655.0,Port to dealer,True,DealerHold,4T1C31AK0PU055198,Toyota of York,PA
2023,Camry LE Hybrid,Midnight Black Metallic,FWD,28655,0.0,28655.0,Port to dealer,True,DealerHold,4T1C31AK0PU055248,Faulkner Toyota,PA
2023,Camry LE Hybrid,Ice Edge,FWD,28655,0.0,28655.0,Port to dealer,True,,4T1C31AK0PU055427,Fernelius Toyota,MI
2023,Camry LE Hybrid,Ice Edge,FWD,28655,0.0,28655.0,Port to dealer,True,DealerHold,4T1C31AK0PU055430,Passport Toyota,MD
2023,Camry LE Hybrid,Supersonic Red,FWD,28655,0.0,28655.0,At dealer,True,DealerHold,4T1C31AK0PU055508,Coad Toyota Paducah,KY
2023,Camry LE Hybrid,Supersonic Red,FWD,28655,0.0,28655.0,Port to dealer,False,DealerHold,4T1C31AK0PU055511,Toyota of Cool Springs,TN
2023,Camry LE Hybrid,Reservoir Blue,FWD,28655,1773.0,30428.0,Port to dealer,False,,4T1C31AK0PU055539,AutoNation Toyota Tempe,AZ
2023,Camry LE Hybrid,Predawn Gray Mica,FWD,28655,0.0,28655.0,Factory to port,False,Available,4T1C31AK0PU055542,Lipton Toyota,FL
2023,Camry LE Hybrid,Ice Cap,FWD,28655,0.0,28655.0,Port to dealer,False,DealerHold,4T1C31AK0PU055556,Camelback Toyota,AZ
2023,Camry LE Hybrid,Ice Edge,FWD,28655,0.0,28655.0,Port to dealer,False,Available,4T1C31AK0PU055606,Toyota of Wooster,OH
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Factory to port,True,DealerHold,4T1C31AK0PU055640,Toyota of Killeen,TX
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,2495.0,31150.0,Factory to port,False,,4T1C31AK0PU20B006,Toyota of Hopkinsville,KY
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Factory to port,True,Available,4T1C31AK0PU20B183,Hoselton Toyota,NY
2023,Camry LE Hybrid,Ice Cap,FWD,28655,0.0,28655.0,Factory to port,False,Available,4T1C31AK0PU21A823,Greg Leblanc Toyota,LA
2023,Camry LE Hybrid,Ice Cap,FWD,28655,2295.0,30950.0,Factory to port,True,,4T1C31AK0PU21A854,Desert Toyota of Tucson,AZ
2023,Camry LE Hybrid,Predawn Gray Mica,FWD,28655,1774.0,30429.0,Factory to port,False,,4T1C31AK0PU21B051,Kolar Toyota,MN
2023,Camry LE Hybrid,Ice Cap,FWD,28655,0.0,28655.0,Factory to port,False,,4T1C31AK0PU21C796,Toyota of Greensboro,NC
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Factory to port,True,Available,4T1C31AK0PU21E404,Bay Ridge Toyota,NY
2023,Camry LE Hybrid,Midnight Black Metallic,FWD,28655,0.0,28655.0,Factory to port,True,,4T1C31AK0PU21E435,St. Cloud Toyota,MN
2023,Camry LE Hybrid,Ice Cap,FWD,28655,2594.0,31249.0,Factory to port,False,DealerHold,4T1C31AK0PU21E502,Hudson Toyota,NJ
2023,Camry LE Hybrid,Midnight Black Metallic,FWD,28655,0.0,28655.0,Factory to port,False,Available,4T1C31AK0PU21F410,Nalley Toyota Stonecrest,GA
2023,Camry LE Hybrid,Ice Cap,FWD,28655,1492.0,30147.0,Factory to port,True,DealerHold,4T1C31AK0PU22B059,Auburn Toyota,CA
2023,Camry LE Hybrid,Predawn Gray Mica,FWD,28655,0.0,28655.0,Factory to port,False,Available,4T1C31AK0PU22B398,Massey Toyota,NC
2023,Camry LE Hybrid,Predawn Gray Mica,FWD,28655,0.0,28655.0,Factory to port,False,Available,4T1C31AK0PU22B434,Southern 441 Toyota,FL
2023,Camry LE Hybrid,Ice Cap,FWD,28655,2273.0,30928.0,Factory to port,True,,4T1C31AK0PU22B451,AutoNation Toyota Hayward,CA
2023,Camry LE Hybrid,Midnight Black Metallic,FWD,28655,0.0,28655.0,Factory to port,False,Available,4T1C31AK0PU22B465,Rick Hendrick Toyota,NC
2023,Camry LE Hybrid,Midnight Black Metallic,FWD,28655,0.0,28655.0,Factory to port,False,Available,4T1C31AK0PU22D393,Headquarter Toyota,FL
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Factory to port,False,DealerHold,4T1C31AK0PU22D488,Labadie Toyota,MI
2023,Camry LE Hybrid,Ice Cap,FWD,28655,0.0,28655.0,Factory to port,False,Available,4T1C31AK0PU22E799,World Toyota,GA
2023,Camry LE Hybrid,Predawn Gray Mica,FWD,28655,0.0,28655.0,Factory to port,True,DealerHold,4T1C31AK0PU23F625,Beechmont Toyota,OH
2023,Camry LE Hybrid,Ice Cap,FWD,28655,0.0,28655.0,Factory to port,False,,4T1C31AK0PU24D725,Basil Toyota,NY
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Factory to port,False,,4T1C31AK0PU24E079,Continental Toyota,IL
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Factory to port,False,,4T1C31AK0PU24F619,Mungenast Alton Toyota,IL
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Factory to port,False,,4T1C31AK0PU25A044,"Gale Toyota, Inc.",CT
2023,Camry LE Hybrid,Reservoir Blue,FWD,28655,0.0,28655.0,Factory to port,False,,4T1C31AK0PU25A092,DCH Brunswick Toyota,NJ
2023,Camry LE Hybrid,Ice Cap,FWD,28655,0.0,28655.0,Factory to port,True,DealerHold,4T1C31AK0PU25C277,I-5 Toyota,WA
2023,Camry LE Hybrid,Predawn Gray Mica,FWD,28655,3995.0,32650.0,Factory to port,False,DealerHold,4T1C31AK0PU25D879,Rodland Toyota,WA
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28655,0.0,28655.0,Factory to port,False,,4T1C31AK0PU25D896,Ourisman Chantilly Toyota,VA
2023,Camry LE Hybrid,Predawn Gray Mica,FWD,28655,1790.0,30445.0,Factory to port,False,,4T1C31AK0PU25G183,Shore Toyota,NJ
2023,Camry LE Hybrid,Predawn Gray Mica,FWD,28355,0.0,28355.0,Port to dealer,False,Available,4T1C31AK0PU613647,Columbia Gorge Toyota,OR
2023,Camry LE Hybrid,Midnight Black Metallic,FWD,28655,1875.0,30530.0,At dealer,True,Available,4T1C31AK0PU613650,Red McCombs Toyota,TX
2023,Camry LE Hybrid,Ice Cap,FWD,28355,0.0,28355.0,At dealer,False,DealerHold,4T1C31AK0PU614040,Toyota of Massapequa,NY
2023,Camry LE Hybrid,Celestial Silver Metallic,FWD,28355,0.0,28355.0,Port to dealer,False,DealerHold,4T1C31AK0PU614054,Right Toyota,AZ
