Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,LE,Wind Chill Pearl,FWD,22800,0.0,22800.0,Port to dealer,False,DealerHold,JTDBCMFE0P3019408,Hendrick Toyota Merriam,KS
2023,LE,Underground,FWD,22800,0.0,22800.0,Port to dealer,False,DealerHold,JTDBCMFE0P3020719,Tom Pappas Toyota,MO
2023,LE,Midnight Black Metallic,FWD,23050,0.0,23050.0,At dealer,True,,JTDBCMFE0P3020946,Steven Toyota,VA
2023,LE,Underground,FWD,23050,0.0,23050.0,Port to dealer,False,DealerHold,JTDBCMFE0P3021451,Colonial Toyota,PA
2023,LE,Underground,FWD,23050,0.0,23050.0,At dealer,False,DealerHold,JTDBCMFE0P3021465,LaFontaine Toyota,MI
2023,SE,Classic Silver Metallic,FWD,25490,0.0,25490.0,At dealer,False,DealerHold,JTDBCMFE0P3021546,Orland Toyota,IL
2023,LE,Classic Silver Metallic,FWD,23050,0.0,23050.0,At dealer,False,Available,JTDBCMFE0P3021692,AutoNation Toyota Corpus Christi,TX
2023,LE,Celestite,FWD,23050,0.0,23050.0,At dealer,True,DealerHold,JTDBCMFE0P3021840,Fowler Toyota of Tulsa,OK
2023,LE,Underground,FWD,23050,0.0,23050.0,Port to dealer,False,Available,JTDBCMFE0P3021871,Ammaar's Toyota Vacaville,CA
2023,LE,Classic Silver Metallic,FWD,23050,0.0,23050.0,At dealer,True,Available,JTDBCMFE0P3021899,Mike Shaw Toyota,TX
2023,LE,Ice Cap,FWD,23050,0.0,23050.0,Factory to port,True,Available,JTDBCMFE0P3022017,Don McGill Toyota,TX
2023,LE,Ice Cap,FWD,23050,0.0,23050.0,Port to dealer,True,DealerHold,JTDBCMFE0P3022132,Mike Kelly Toyota of Uniontown,PA
2023,LE,Underground,FWD,23050,0.0,23050.0,Port to dealer,True,DealerHold,JTDBCMFE0P3022227,Mechanicsville Toyota,VA
2023,SE,Underground,FWD,25490,0.0,25490.0,Port to dealer,True,Available,JTDBCMFE0P3022258,Don McGill Toyota of Katy,TX
2023,LE,Celestite,FWD,23050,0.0,23050.0,Port to dealer,False,Available,JTDBCMFE0P3022275,Ed Martin Toyota,IN
2023,LE,Celestite,FWD,23050,0.0,23050.0,Factory to port,True,Available,JTDBCMFE0P3022471,Landers Toyota,AR
2023,LE,Wind Chill Pearl,FWD,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0P3022485,DeLuca Toyota,FL
2023,LE,Celestite,FWD,23050,0.0,23050.0,Port to dealer,False,DealerHold,JTDBCMFE0P3022504,Toyota of York,PA
2023,LE,Underground,FWD,23050,0.0,23050.0,Port to dealer,False,,JTDBCMFE0P3022521,Bayside Toyota,MD
2023,SE,Underground,FWD,25490,0.0,25490.0,Factory to port,True,DealerHold,JTDBCMFE0P3022535,Gullo Toyota of Conroe,TX
2023,LE,Midnight Black Metallic,FWD,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0P3022602,Fred Anderson Toyota of Charleston,SC
2023,SE,Underground,FWD,25490,0.0,25490.0,Port to dealer,False,DealerHold,JTDBCMFE0P3022664,Bob Smith Toyota,CA
2023,XLE,Underground,FWD,26850,0.0,26850.0,Factory to port,False,Available,JTDBCMFE0P3022714,Alamo Toyota,TX
2023,LE,Classic Silver Metallic,FWD,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0P3022731,Milton Martin Toyota,GA
2023,LE,Celestite,FWD,23050,0.0,23050.0,Factory to port,False,,JTDBCMFE0P3022888,Santa Cruz Toyota,CA
2023,SE,Underground,FWD,25490,0.0,25490.0,Port to dealer,False,DealerHold,JTDBCMFE0P3022941,Right Toyota,AZ
2023,LE,Underground,FWD,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0P3022969,Toyota of Clermont,FL
2023,LE,Classic Silver Metallic,FWD,23050,0.0,23050.0,At dealer,False,Available,JTDBCMFE0P3022986,Tustin Toyota,CA
2023,LE,Ice Cap,FWD,23050,0.0,23050.0,Factory to port,False,Available,JTDBCMFE0P3023040,Toyota of Vero Beach,FL
2023,LE,Midnight Black Metallic,FWD,23050,0.0,23050.0,Factory to port,False,DealerHold,JTDBCMFE0P3023054,Price Toyota,DE
2023,LE,Midnight Black Metallic,FWD,23050,0.0,23050.0,Port to dealer,False,,JTDBCMFE0P3023068,Toyota of Glendale,CA
2023,LE,Celestite,FWD,23050,0.0,23050.0,Port to dealer,False,,JTDBCMFE0P3023071,Culver City Toyota,CA
2023,LE,Underground,FWD,23050,0.0,23050.0,Port to dealer,True,DealerHold,JTDBCMFE0P3023099,Toyota of San Bernardino,CA
2023,LE,Celestite,FWD,23050,799.0,23849.0,Factory to port,False,Available,JTDBCMFE0P3023183,Landers Toyota NWA,AR
2023,LE,Underground,FWD,23050,0.0,23050.0,Port to dealer,False,,JTDBCMFE0P3023197,Toyota of Riverside,CA
2023,LE,Classic Silver Metallic,FWD,23050,0.0,23050.0,Factory to port,False,,JTDBCMFE0P3023247,DARCARS Toyota of Frederick,MD
2023,SE,Underground,FWD,25490,0.0,25490.0,Factory to port,False,,JTDBCMFE0P3023278,Carson City Toyota,NV
2023,LE,Underground,FWD,23050,0.0,23050.0,Factory to port,False,,JTDBCMFE0P3023295,Conicelli Toyota of Springfield,PA
2023,LE,Wind Chill Pearl,FWD,23050,0.0,23050.0,Factory to port,False,DealerHold,JTDBCMFE0P3023328,Corwin Toyota,ND
2023,LE,Classic Silver Metallic,FWD,23050,4490.0,27540.0,Port to dealer,False,,JTDBCMFE0P3023331,Berge Toyota,AZ
2023,LE,Underground,FWD,23050,0.0,23050.0,Port to dealer,False,,JTDBCMFE0P3023426,Toyota of North Hollywood,CA
2023,LE,Underground,FWD,23050,0.0,23050.0,Factory to port,False,DealerHold,JTDBCMFE0P3023474,Temecula Valley Toyota,CA
2023,LE,Underground,FWD,23050,0.0,23050.0,Port to dealer,False,DealerHold,JTDBCMFE0P3023488,Wondries Toyota,CA
2023,LE,Underground,FWD,23050,0.0,23050.0,Factory to port,False,,JTDBCMFE0P3023541,Toyota Santa Monica,CA
2023,LE,Underground,FWD,23050,0.0,23050.0,Factory to port,False,DealerHold,JTDBCMFE0P3023605,Toyota San Luis Obispo,CA
