Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2024,XLE,Coastal Cream,FWD,43070,0.0,43070.0,Port to dealer,True,DealerHold,5TDAAAA50RS000110,Hamer Toyota,CA
2024,XLE,Storm Cloud,FWD,43070,0.0,43070.0,Port to dealer,False,,5TDAAAA50RS000205,Centennial Toyota,NV
2024,XLE,Storm Cloud,FWD,43070,0.0,43070.0,Port to dealer,False,DealerHold,5TDAAAA50RS000219,Earnhardt Toyota,AZ
2024,XLE,Coastal Cream,FWD,43070,0.0,43070.0,Port to dealer,False,DealerHold,5TDAAAA50RS000396,Camelback Toyota,AZ
2024,XLE,Storm Cloud,FWD,43070,1278.0,44348.0,Factory to port,False,,5TDAAAA50RS26C200,AutoNation Toyota Irvine,CA
2024,XLE,Wind Chill Pearl,FWD,43070,0.0,43070.0,Factory to port,False,,5TDAAAA50RS26C858,Dublin Toyota,CA
2024,Limited,Coastal Cream,FWD,47860,0.0,47860.0,Factory to port,True,,5TDAAAA50RS27B737,Avondale Toyota,AZ
2024,XLE,Blueprint,FWD,43070,6985.0,50055.0,Port to dealer,True,DealerHold,5TDAAAA51RS000133,Toyota Carlsbad,CA
2024,Limited,Storm Cloud,FWD,47860,0.0,47860.0,Port to dealer,False,,5TDAAAA51RS000245,Toyota of Orange,CA
2024,Limited,Storm Cloud,FWD,47860,0.0,47860.0,Port to dealer,False,DealerHold,5TDAAAA51RS000293,Toyota of Huntington Beach,CA
2024,Limited,Celestial Silver Metallic,FWD,47860,2098.0,49958.0,Factory to port,False,,5TDAAAA51RS26D632,Toyota of Surprise,AZ
2024,XLE,Midnight Black Metallic,FWD,43070,0.0,43070.0,Factory to port,False,,5TDAAAA51RS27B584,Toyota of Santa Maria,CA
2024,XLE,Wind Chill Pearl,FWD,43070,0.0,43070.0,Factory to port,False,,5TDAAAA51RS30D711,Maita's Toyota of Sacramento,CA
2024,XLE,Storm Cloud,FWD,43070,0.0,43070.0,Port to dealer,True,DealerHold,5TDAAAA52RS000271,Toyota of San Bernardino,CA
2024,XLE,Coastal Cream,FWD,43070,1290.0,44360.0,Factory to port,True,,5TDAAAA52RS26C019,Toyota of Redlands,CA
2024,Limited,Storm Cloud,FWD,47860,0.0,47860.0,Factory to port,True,,5TDAAAA52RS27B822,Avondale Toyota,AZ
2024,XLE,Wind Chill Pearl,FWD,43070,4490.0,47560.0,Factory to port,False,,5TDAAAA52RS27C470,Berge Toyota,AZ
2024,XLE,Coastal Cream,FWD,43070,0.0,43070.0,Factory to port,True,,5TDAAAA52RS28D193,Avondale Toyota,AZ
2024,Limited,Wind Chill Pearl,FWD,47860,6985.0,54845.0,Factory to port,False,,5TDAAAA52RS30C843,Toyota Carlsbad,CA
2024,XLE,Coastal Cream,FWD,43070,0.0,43070.0,Port to dealer,False,DealerHold,5TDAAAA53RS000070,Claremont Toyota,CA
2024,Limited,Blueprint,FWD,47860,0.0,47860.0,Port to dealer,False,,5TDAAAA53RS000182,Toyota of San Bernardino,CA
2024,XLE,Wind Chill Pearl,FWD,43070,0.0,43070.0,Factory to port,False,,5TDAAAA53RS26B994,Dublin Toyota,CA
2024,Limited,Wind Chill Pearl,FWD,47860,0.0,47860.0,Factory to port,False,,5TDAAAA53RS26C093,Santa Margarita Toyota,CA
2024,XLE,Celestial Silver Metallic,FWD,43070,1773.0,44843.0,Factory to port,False,,5TDAAAA53RS27B506,AutoNation Toyota Tempe,AZ
2024,Limited,Midnight Black Metallic,FWD,47860,0.0,47860.0,Factory to port,False,,5TDAAAA53RS27B781,Toyota of El Cajon,CA
2024,XLE,Midnight Black Metallic,FWD,43070,0.0,43070.0,Port to dealer,True,,5TDAAAA54RS000174,Avondale Toyota,AZ
2024,XLE,Storm Cloud,FWD,43070,0.0,43070.0,Port to dealer,False,,5TDAAAA54RS000224,Temecula Valley Toyota,CA
2024,Limited,Storm Cloud,FWD,47860,0.0,47860.0,Port to dealer,False,,5TDAAAA54RS000319,Toyota of North Hollywood,CA
2024,XLE,Storm Cloud,FWD,43070,3568.0,46638.0,Port to dealer,False,,5TDAAAA54RS000353,Bell Road Toyota,AZ
2024,Limited,Storm Cloud,FWD,47860,0.0,47860.0,Port to dealer,False,,5TDAAAA54RS000370,Toyota of El Cajon,CA
2024,Limited,Wind Chill Pearl,FWD,47860,2098.0,49958.0,Factory to port,False,,5TDAAAA54RS26C152,Toyota of Surprise,AZ
2024,XLE,Blueprint,FWD,43070,1877.0,44947.0,Factory to port,False,,5TDAAAA54RS27B465,AutoNation Toyota Las Vegas,NV
2024,Limited,Wind Chill Pearl,FWD,47860,4995.0,52855.0,Factory to port,False,Available,5TDAAAA54RS28D521,South Bay Toyota,CA
2024,Limited,Coastal Cream,FWD,47860,2295.0,50155.0,Factory to port,False,,5TDAAAA54RS30C813,Desert Toyota of Tucson,AZ
2024,Limited,Blueprint,FWD,47860,0.0,47860.0,Factory to port,True,,5TDAAAA54RS30D587,Avondale Toyota,AZ
2024,XLE,Blueprint,FWD,43070,0.0,43070.0,Port to dealer,False,,5TDAAAA55RS000071,Toyota of Orange,CA
2024,XLE,Coastal Cream,FWD,43070,0.0,43070.0,Port to dealer,False,,5TDAAAA55RS000183,Toyota Town,CA
2024,Limited,Storm Cloud,FWD,47860,0.0,47860.0,Port to dealer,False,,5TDAAAA55RS000281,Hamer Toyota,CA
2024,Limited,Ruby Flare Pearl,FWD,47860,1877.0,49737.0,Factory to port,False,,5TDAAAA55RS26D617,AutoNation Toyota Las Vegas,NV
2024,XLE,Midnight Black Metallic,FWD,43070,0.0,43070.0,Port to dealer,False,DealerHold,5TDAAAA56RS000094,Findlay Toyota,NV
2024,XLE,Midnight Black Metallic,FWD,43070,2098.0,45168.0,Port to dealer,False,,5TDAAAA56RS000158,Toyota of Surprise,AZ
2024,XLE,Storm Cloud,FWD,43070,0.0,43070.0,Port to dealer,False,DealerHold,5TDAAAA56RS000189,Right Toyota,AZ
2024,XLE,Midnight Black Metallic,FWD,43070,0.0,43070.0,Port to dealer,False,DealerHold,5TDAAAA56RS000256,David Wilson's Toyota and Scion of Las Vegas,NV
2024,XLE,Storm Cloud,FWD,43070,0.0,43070.0,Port to dealer,True,,5TDAAAA56RS000306,Avondale Toyota,AZ
