Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Circuit Edition,Heavy Metal,AWD,42900,4624.0,47524.0,At dealer,True,DealerHold,JTNABAAE0PA004418,Gateway Toyota,NJ
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Port to dealer,False,DealerHold,JTNABAAE0PA004578,Victory Toyota,MI
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,At dealer,True,DealerHold,JTNABAAE0PA004595,Atlantic Toyota,MA
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,At dealer,False,Available,JTNABAAE0PA004628,Serra Toyota,AL
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Port to dealer,False,DealerHold,JTNABAAE0PA004712,Gates Toyota,IN
2023,Core,Ice Cap,AWD,35900,0.0,35900.0,Factory to port,False,Available,JTNABAAE0PA004774,Atlanta Toyota,GA
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Factory to port,True,DealerHold,JTNABAAE0PA004810,Shelor Toyota,VA
2023,Circuit Edition,Heavy Metal,AWD,42900,798.0,43698.0,Port to dealer,True,DealerHold,JTNABAAE0PA004905,Newbold Toyota,IL
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Factory to port,False,,JTNABAAE0PA004919,Thousand Oaks Toyota,CA
2023,Core,Black,AWD,35900,0.0,35900.0,Port to dealer,False,,JTNABAAE0PA004936,Stephen Wade Toyota,UT
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Port to dealer,True,DealerHold,JTNABAAE0PA004998,O'Brien Toyota,IN
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,At dealer,True,DealerHold,JTNABAAE0PA005018,Kearny Mesa Toyota,CA
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Factory to port,False,DealerHold,JTNABAAE0PA005021,Ken Ganley Toyota,PA
2023,Circuit Edition,Supersonic Red,AWD,42900,0.0,42900.0,Factory to port,True,DealerHold,JTNABAAE0PA005052,Fordham Toyota,NY
2023,Core,Ice Cap,AWD,35900,0.0,35900.0,Port to dealer,False,DealerHold,JTNABAAE0PA005066,Tony Divino Toyota,UT
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Port to dealer,False,Available,JTNABAAE0PA005133,Toyota of Merrillville,IN
2023,Core,Black,AWD,35900,0.0,35900.0,Port to dealer,False,,JTNABAAE0PA005147,Toyota of San Bernardino,CA
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Factory to port,False,,JTNABAAE0PA005181,Penske Toyota,CA
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Factory to port,False,DealerHold,JTNABAAE0PA005214,Elmore Toyota,CA
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Factory to port,False,,JTNABAAE0PA005231,Queensboro Toyota,NY
2023,Circuit Edition,Supersonic Red,AWD,42900,0.0,42900.0,Factory to port,False,DealerHold,JTNABAAE0PA005262,"Fort Dodge Ford, Lincoln, Toyota",IA
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Factory to port,False,DealerHold,JTNABAAE0PA005276,Thornhill Toyota,WV
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Factory to port,False,DealerHold,JTNABAAE0PA005293,Toyota of Glendora,CA
2023,Core,Black,AWD,35900,0.0,35900.0,Factory to port,True,,JTNABAAE0PA005326,Faulkner Toyota,PA
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Factory to port,True,DealerHold,JTNABAAE0PA005343,Waite Toyota,NY
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Factory to port,False,DealerHold,JTNABAAE0PA005374,Fallon Ford Toyota,NV
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Factory to port,False,DealerHold,JTNABAAE0PA005391,Laurel Toyota,PA
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Factory to port,False,,JTNABAAE0PA005469,Perry Motors Toyota,CA
2023,Circuit Edition,Supersonic Red,AWD,42900,0.0,42900.0,Factory to port,True,,JTNABAAE0PA005505,Northtown Toyota,NY
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Port to dealer,False,DealerHold,JTNABAAE1PA004525,Pohanka Toyota of Salisbury,MD
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,At dealer,False,DealerHold,JTNABAAE1PA004573,Heritage Toyota,VT
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Port to dealer,True,,JTNABAAE1PA004587,Toyota South,KY
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,At dealer,False,Available,JTNABAAE1PA004623,Atlantic Toyota,NY
2023,Circuit Edition,Supersonic Red,AWD,42900,0.0,42900.0,Factory to port,False,DealerHold,JTNABAAE1PA004685,Autoland Toyota,NJ
2023,Core,Supersonic Red,AWD,35900,1790.0,37690.0,Factory to port,False,DealerHold,JTNABAAE1PA004699,Liberty Toyota,NJ
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Port to dealer,False,DealerHold,JTNABAAE1PA004704,Joe Machens Toyota,MO
2023,Circuit Edition,Heavy Metal,AWD,42900,0.0,42900.0,Factory to port,True,DealerHold,JTNABAAE1PA004721,Loyalty Toyota,VA
2023,Core,Ice Cap,AWD,35900,0.0,35900.0,Port to dealer,False,DealerHold,JTNABAAE1PA004766,Toyota of Santa Fe,NM
2023,Core,Black,AWD,35900,0.0,35900.0,Port to dealer,True,DealerHold,JTNABAAE1PA004797,Precision Toyota of Tucson,AZ
2023,Core,Black,AWD,35900,1773.0,37673.0,Port to dealer,False,DealerHold,JTNABAAE1PA004802,AutoNation Toyota Tempe,AZ
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Factory to port,True,,JTNABAAE1PA004816,Bill Page Toyota,VA
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Port to dealer,False,,JTNABAAE1PA004881,Toyota On Western,IL
2023,Circuit Edition,Ice Cap,AWD,42900,0.0,42900.0,Port to dealer,False,DealerHold,JTNABAAE1PA004895,Toyota of Muskegon,MI
2023,Core,Supersonic Red,AWD,35900,0.0,35900.0,Factory to port,False,DealerHold,JTNABAAE1PA004900,DCH Freehold Toyota,NJ
