Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Highlander  Hybrid Bronze Edition,Midnight Black Metallic,FWD,46380,2098.0,48478.0,Factory to port,False,,5TDAARAH0PS22B913,Toyota of Surprise,AZ
2023,Highlander  Hybrid Bronze Edition,Midnight Black Metallic,FWD,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH0PS22E777,Savannah Toyota,GA
2023,Highlander  Hybrid Bronze Edition,Midnight Black Metallic,FWD,46380,0.0,46380.0,At dealer,False,Available,5TDAARAH0PS523939,Toyota of Del Rio,TX
2023,Highlander  Hybrid Bronze Edition,Midnight Black Metallic,FWD,45980,0.0,45980.0,At dealer,False,Available,5TDAARAH0PS524203,Toyota of Santa Maria,CA
2023,Highlander  Hybrid Bronze Edition,Wind Chill Pearl,FWD,46380,0.0,46380.0,At dealer,False,Available,5TDAARAH0PS525187,Headquarter Toyota,FL
2023,Highlander  Hybrid Bronze Edition,Wind Chill Pearl,FWD,46380,1995.0,48375.0,Factory to port,False,Available,5TDAARAH1PS21F019,Toyota Carlsbad,CA
2023,Highlander  Hybrid Bronze Edition,Midnight Black Metallic,FWD,46380,0.0,46380.0,At dealer,False,Available,5TDAARAH1PS523996,Classic Toyota of Texoma,TX
2023,Highlander  Hybrid Bronze Edition,Midnight Black Metallic,FWD,46380,3490.0,49870.0,At dealer,True,Available,5TDAARAH1PS524050,Toyota of Pharr,TX
2023,Highlander  Hybrid Bronze Edition,Wind Chill Pearl,FWD,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH1PS524310,Toyota of Melbourne,FL
2023,Highlander  Hybrid Bronze Edition,Cement,FWD,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH1PS524632,Red McCombs Toyota,TX
2023,Highlander  Hybrid Bronze Edition,Cement,FWD,45980,0.0,45980.0,At dealer,False,DealerHold,5TDAARAH1PS524825,Toyota of Pasadena,CA
2023,Highlander  Hybrid Bronze Edition,Midnight Black Metallic,FWD,46380,0.0,46380.0,Port to dealer,False,DealerHold,5TDAARAH1PS525229,Big Two Toyota of Chandler,AZ
2023,Highlander  Hybrid Bronze Edition,Wind Chill Pearl,FWD,46380,2980.0,49360.0,At dealer,False,Available,5TDAARAH2PS524123,Toyota of Longview,TX
2023,Highlander  Hybrid Bronze Edition,Midnight Black Metallic,FWD,46380,0.0,46380.0,At dealer,False,,5TDAARAH2PS524946,Peter Boulware Toyota,FL
2023,Highlander  Hybrid Bronze Edition,Wind Chill Pearl,FWD,46380,2995.0,49375.0,At dealer,False,Available,5TDAARAH2PS525109,James Hodge Toyota,OK
2023,Highlander  Hybrid Bronze Edition,Cement,FWD,46380,0.0,46380.0,Port to dealer,False,DealerHold,5TDAARAH2PS525255,Toyota of Huntington Beach,CA
2023,Highlander  Hybrid Bronze Edition,Wind Chill Pearl,FWD,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH2PS525367,AutoNation Toyota Thornton Road,GA
2023,Highlander  Hybrid Bronze Edition,Midnight Black Metallic,FWD,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH2PS525448,Phillips Toyota,FL
2023,Highlander  Hybrid Bronze Edition,Cement,FWD,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH3PS21B845,Kendall Toyota,FL
2023,Highlander  Hybrid Bronze Edition,Cement,FWD,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH3PS22E899,Butler Toyota,GA
2023,Highlander  Hybrid Bronze Edition,Wind Chill Pearl,FWD,45980,0.0,45980.0,At dealer,False,DealerHold,5TDAARAH3PS524552,Bob Smith Toyota,CA
2023,Highlander  Hybrid Bronze Edition,Wind Chill Pearl,FWD,46380,0.0,46380.0,Factory to port,False,Available,5TDAARAH3PS525314,Mike Erdman Toyota,FL
2023,Highlander  Hybrid Bronze Edition,Wind Chill Pearl,FWD,46380,1290.0,47670.0,Port to dealer,False,,5TDAARAH3PS525510,Toyota of Redlands,CA
