Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XLE,Supersonic Red,FWD,30895,0.0,30895.0,At dealer,False,DealerHold,JTDACAAU0P3001130,Oak Lawn Toyota,IL
2023,LE,Guardian Gray,FWD,27450,0.0,27450.0,At dealer,False,DealerHold,JTDACAAU0P3001144,Deery Brothers Toyota,IA
2023,LE,Cutting Edge,FWD,27450,0.0,27450.0,At dealer,False,DealerHold,JTDACAAU0P3001533,New Holland Toyota,PA
2023,XLE,Cutting Edge,FWD,30895,0.0,30895.0,At dealer,False,DealerHold,JTDACAAU0P3001855,Reliable Toyota,MO
2023,XLE,Wind Chill Pearl,FWD,30895,0.0,30895.0,At dealer,False,DealerHold,JTDACAAU0P3002309,Ruda Chevrolet/Toyota,WI
2023,XLE,Wind Chill Pearl,FWD,30895,0.0,30895.0,At dealer,False,DealerHold,JTDACAAU0P3002472,Toyota of Selma,CA
2023,XLE,Supersonic Red,FWD,30895,0.0,30895.0,At dealer,False,DealerHold,JTDACAAU0P3002522,Thayer Toyota,OH
2023,Limited,Midnight Black Metallic,FWD,34465,0.0,34465.0,At dealer,False,DealerHold,JTDACAAU0P3004030,Bommarito Toyota,MO
2023,LE,Guardian Gray,FWD,27450,0.0,27450.0,At dealer,True,DealerHold,JTDACAAU0P3004075,Yellowstone Toyota,WY
2023,XLE,Supersonic Red,FWD,30895,0.0,30895.0,At dealer,True,,JTDACAAU0P3004870,St. Cloud Toyota,MN
2023,XLE,Guardian Gray,FWD,30895,0.0,30895.0,Port to dealer,False,DealerHold,JTDACAAU0P3005663,Rolling Hills Toyota,MO
2023,LE,GUARDIAN GRAY,FWD,27450,5690.0,33140.0,Port to dealer,True,DealerHold,JTDACAAU0P3005811,Bob Howard Toyota,OK
2023,LE,Cutting Edge,FWD,27450,0.0,27450.0,At dealer,False,DealerHold,JTDACAAU0P3005873,"Molle Toyota, Inc.",MO
2023,XLE,Wind Chill Pearl,FWD,30895,0.0,30895.0,At dealer,False,Available,JTDACAAU0P3005968,Sam Leman Toyota Bloomington,IL
2023,XLE,Guardian Gray,FWD,30895,0.0,30895.0,At dealer,True,DealerHold,JTDACAAU0P3006005,Maita's Toyota of Sacramento,CA
2023,XLE,MIDNIGHT BLACK METALLIC,FWD,30895,0.0,30895.0,At dealer,True,Available,JTDACAAU0P3006070,Greg Leblanc Toyota,LA
2023,XLE,Midnight Black Metallic,FWD,30895,0.0,30895.0,At dealer,False,Available,JTDACAAU0P3006117,Toyota of North Miami,FL
2023,LE,Cutting Edge,FWD,27450,0.0,27450.0,At dealer,False,DealerHold,JTDACAAU0P3006294,Bill Kidd's Timonium Toyota,MD
2023,LE,Wind Chill Pearl,FWD,27450,0.0,27450.0,At dealer,False,Available,JTDACAAU0P3006327,Toyota of Hollywood,FL
2023,Limited,Midnight Black Metallic,FWD,34465,9995.0,44460.0,Factory to port,True,Available,JTDACAAU0P3006375,Toyota of Richardson,TX
2023,XLE,Cutting Edge,FWD,30895,0.0,30895.0,Port to dealer,True,DealerHold,JTDACAAU0P3006425,Kerry Toyota,KY
