Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC25F168,802 Toyota,VT
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC26E632,Lia Toyota,MA
2023,XLE Premium,Midnight Black Metallic,AWD,34075,989.0,35064.0,Factory to port,False,,2T3A1RFV0PC26F604,Dayton Toyota,NJ
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Factory to port,True,,2T3A1RFV0PC26F621,St. Cloud Toyota,MN
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Factory to port,True,Available,2T3A1RFV0PC26I289,Hoselton Toyota,NY
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Factory to port,True,DealerHold,2T3A1RFV0PC26I891,Toyota of Vineland,NJ
2023,XLE Premium,Silver Sky Metallic,AWD,34075,0.0,34075.0,Factory to port,False,DealerHold,2T3A1RFV0PC26K021,Westbury Toyota,NY
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC27D427,Toyota on Edens,IL
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PC28I008,Fordham Toyota,NY
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC360353,Lou Fusz Toyota,MO
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,True,,2T3A1RFV0PC360529,Toyota of Boardman,OH
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Port to dealer,True,,2T3A1RFV0PC360952,Waldorf Toyota,MD
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC361051,Toyota Knoxville,TN
2023,XLE Premium,Silver Sky Metallic,AWD,34075,0.0,34075.0,At dealer,False,DealerHold,2T3A1RFV0PC361602,Sloane Toyota of Malvern,PA
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,,2T3A1RFV0PC361664,Haley Toyota,VA
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC361728,Sloane Toyota of Malvern,PA
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC361843,Toyota of Cool Springs,TN
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC362376,Bergstrom Toyota,WI
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,At dealer,False,Available,2T3A1RFV0PC362863,Del Toyota,PA
2023,XLE Premium,Silver Sky Metallic,AWD,34075,0.0,34075.0,At dealer,False,DealerHold,2T3A1RFV0PC363186,Heritage Toyota,VT
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,At dealer,False,DealerHold,2T3A1RFV0PC363365,Curry Toyota,NY
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,True,DealerHold,2T3A1RFV0PC363737,Rochester Toyota,MN
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC363897,Hall Toyota Virginia Beach,VA
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC363995,Boch Toyota South,MA
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,True,,2T3A1RFV0PC364242,Beck Toyota,IN
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,299.0,34374.0,At dealer,True,,2T3A1RFV0PC364550,Team Toyota,PA
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,895.0,34970.0,Port to dealer,False,DealerHold,2T3A1RFV0PC364631,Andrew Toyota,WI
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,True,,2T3A1RFV0PC364662,Haddad Toyota,MA
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC364824,Thornhill Toyota,WV
2023,XLE Premium,Silver Sky Metallic,AWD,34075,299.0,34374.0,Port to dealer,True,,2T3A1RFV0PC364872,Team Toyota,PA
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,,2T3A1RFV0PC365455,DARCARS Toyota of Frederick,MD
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,,2T3A1RFV0PC365522,Empire Toyota of Huntington,NY
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,,2T3A1RFV0PC365553,Performance Motors Toyota,PA
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC365567,John Weiss' Toyota of South County,MO
2023,XLE Premium,Silver Sky Metallic,AWD,34075,0.0,34075.0,Port to dealer,True,,2T3A1RFV0PC365813,Hartford Toyota,CT
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,,2T3A1RFV0PC366234,Hall Toyota Virginia Beach,VA
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Port to dealer,False,DealerHold,2T3A1RFV0PC366251,Conicelli Toyota,PA
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Factory to port,True,Available,2T3A1RFV0PW24G498,Byers Toyota,OH
2023,XLE Premium,Wind Chill Pearl,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PW24G856,Robinson Toyota,TN
2023,XLE Premium,Wind Chill Pearl,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PW24G971,Ourisman Fairfax Toyota,VA
2023,XLE Premium,Lunar Rock,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PW24K074,Route 22 Toyota,NJ
2023,XLE Premium,Lunar Rock,AWD,34075,0.0,34075.0,Factory to port,False,DealerHold,2T3A1RFV0PW24K088,Toyota of Warsaw,IN
2023,XLE Premium,Lunar Rock,AWD,34075,0.0,34075.0,Factory to port,True,DealerHold,2T3A1RFV0PW24K110,Walker Toyota,OH
2023,XLE Premium,Midnight Black Metallic,AWD,34075,0.0,34075.0,Factory to port,False,DealerHold,2T3A1RFV0PW24K141,Berlin City Toyota of Portland,ME
2023,XLE Premium,Ruby Flare Pearl,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PW25D869,Bennett Toyota of Lebanon,PA
2023,XLE Premium,Blueprint,AWD,34075,0.0,34075.0,Factory to port,False,DealerHold,2T3A1RFV0PW25G304,Bennett Toyota of Lebanon,PA
2023,XLE Premium,Lunar Rock,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PW25G366,Ourisman Chantilly Toyota,VA
2023,XLE Premium,Wind Chill Pearl,AWD,34075,0.0,34075.0,Factory to port,True,,2T3A1RFV0PW25G769,St. Cloud Toyota,MN
2023,XLE Premium,Magnetic Gray Metallic,AWD,34075,0.0,34075.0,Factory to port,False,,2T3A1RFV0PW25I473,Toyota of Merrillville,IN
2023,XLE Premium,Lunar Rock,AWD,34075,0.0,34075.0,Factory to port,False,Available,2T3A1RFV0PW25K040,Mark Jacobson Toyota,NC
2023,XLE Premium,Ruby Flare Pearl,AWD,34075,299.0,34374.0,Factory to port,True,,2T3A1RFV0PW26D916,Team Toyota,PA
2023,XLE Premium,Blueprint,AWD,34075,0.0,34075.0,Factory to port,False,Available,2T3A1RFV0PW26D947,Town & Country Toyota,NC
2023,XLE Premium,Ruby Flare Pearl,AWD,34075,0.0,34075.0,Factory to port,True,,2T3A1RFV0PW26G699,Hanover Toyota,PA
