Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XLE Premium,Lunar Rock,hybrid,35125,2190.0,37315.0,Port to dealer,False,Available,2T3B6RFV0PW038977,Madera Toyota,CA
2023,XLE Premium,Lunar Rock,hybrid,35625,0.0,35625.0,Port to dealer,False,DealerHold,2T3B6RFV0PW039417,Stephen Toyota,CT
2023,XLE Premium,Silver Sky Metallic,hybrid,35625,0.0,35625.0,Factory to port,False,,2T3B6RFV0PW23D868,Toyota of Poway,CA
2023,XLE Premium,Lunar Rock,hybrid,35625,0.0,35625.0,Factory to port,False,DealerHold,2T3B6RFV0PW23G253,McGee Toyota of Epping,NH
2023,XLE Premium,Magnetic Gray Metallic,hybrid,35125,1492.0,36617.0,Port to dealer,True,DealerHold,2T3B6RFV1PW039099,Auburn Toyota,CA
2023,XLE Premium,Lunar Rock,hybrid,35625,0.0,35625.0,Port to dealer,False,,2T3B6RFV1PW039233,Hillside Toyota,NY
2023,XLE Premium,Silver Sky Metallic,hybrid,35625,0.0,35625.0,Port to dealer,False,,2T3B6RFV1PW039491,Toyota Universe,NJ
2023,XLE Premium,Lunar Rock,hybrid,35625,2594.0,38219.0,Factory to port,False,DealerHold,2T3B6RFV1PW20E962,Hudson Toyota,NJ
2023,XLE Premium,Midnight Black Metallic,hybrid,35625,0.0,35625.0,Factory to port,False,,2T3B6RFV1PW20G064,Lynch Toyota,CT
2023,XLE Premium,Midnight Black Metallic,hybrid,35625,0.0,35625.0,Factory to port,False,,2T3B6RFV1PW23H945,New Rochelle Toyota,NY
2023,XLE Premium,Magnetic Gray Metallic,hybrid,35125,0.0,35125.0,Port to dealer,False,DealerHold,2T3B6RFV2PW039046,Toyota Walnut Creek,CA
2023,XLE Premium,Midnight Black Metallic,hybrid,35625,0.0,35625.0,At dealer,False,DealerHold,2T3B6RFV2PW039242,Steet Toyota,NY
2023,XLE Premium,Magnetic Gray Metallic,hybrid,35625,0.0,35625.0,Port to dealer,False,,2T3B6RFV2PW039256,"Glen Motors, Inc.",NJ
2023,XLE Premium,Lunar Rock,hybrid,35625,0.0,35625.0,Port to dealer,False,DealerHold,2T3B6RFV2PW039421,Colonial Toyota,CT
2023,XLE Premium,Lunar Rock,hybrid,35625,0.0,35625.0,Factory to port,False,DealerHold,2T3B6RFV2PW21E514,West Herr Toyota of Williamsville,NY
2023,XLE Premium,Wind Chill Pearl,hybrid,35625,0.0,35625.0,Factory to port,True,,2T3B6RFV2PW23D869,Haddad Toyota,MA
