Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,SE,Supersonic Red,AWD,42340,0.0,42340.0,At dealer,False,Available,JTMAB3FV0PD125330,Carlock Toyota of Tupelo,MS
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,At dealer,False,DealerHold,JTMAB3FV0PD128874,Koons Arlington Toyota,VA
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,At dealer,True,DealerHold,JTMAB3FV0PD128910,Lia Toyota of Colonie,NY
2023,SE,Midnight Black Metallic,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD128986,Torrington Toyota,CT
2023,SE,Ice Cap,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD129619,Bay Ridge Toyota,NY
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,At dealer,False,Available,JTMAB3FV0PD129782,Koons Toyota,MD
2023,SE,Blueprint,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD130141,New Country Toyota of Westport,CT
2023,SE,Midnight Black Metallic,AWD,42340,0.0,42340.0,At dealer,False,Available,JTMAB3FV0PD130852,Jim Coleman Toyota,MD
2023,SE,Midnight Black Metallic,AWD,42340,0.0,42340.0,At dealer,False,DealerHold,JTMAB3FV0PD131192,Kinderhook Toyota,NY
2023,SE,Ice Cap,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD131290,Team Toyota of Princeton,NJ
2023,SE,Magnetic Gray Metallic,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD131404,Plaza Toyota,NY
2023,SE,Blueprint,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD132018,McGee Toyota of Dudley,MA
2023,SE,Blueprint,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD132164,Luv Toyota,NY
2023,SE,Ice Cap,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD132262,Lia Toyota of Colonie,NY
2023,SE,Blueprint,AWD,42340,0.0,42340.0,At dealer,False,DealerHold,JTMAB3FV0PD132309,Conklin Toyota Salina,KS
2023,SE,Midnight Black Metallic,AWD,42340,0.0,42340.0,At dealer,True,DealerHold,JTMAB3FV0PD132312,Northway Toyota,NY
2023,SE,Supersonic Red,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD132536,Sheehy Toyota of Laurel,MD
2023,SE,Ice Cap,AWD,42340,0.0,42340.0,At dealer,False,DealerHold,JTMAB3FV0PD132567,Kendall Toyota,OR
2023,SE,Magnetic Gray Metallic,AWD,42340,0.0,42340.0,At dealer,False,DealerHold,JTMAB3FV0PD132603,Steet Toyota,NY
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,At dealer,False,Available,JTMAB3FV0PD132780,Newburgh Toyota,NY
2023,SE,Magnetic Gray Metallic,AWD,42340,0.0,42340.0,At dealer,False,DealerHold,JTMAB3FV0PD132858,Lithia Toyota of Springfield,OR
2023,SE,Blueprint,AWD,42340,2594.0,44934.0,At dealer,False,,JTMAB3FV0PD132875,Hudson Toyota,NJ
2023,SE,Midnight Black Metallic,AWD,42340,6237.0,48577.0,At dealer,False,,JTMAB3FV0PD132892,Toyota of Turnersville,NJ
2023,SE,Ice Cap,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD133038,Jerry's Toyota,MD
2023,SE,Ice Cap,AWD,42340,0.0,42340.0,At dealer,False,Available,JTMAB3FV0PD133153,Toyota of Hackensack,NJ
2023,SE,Midnight Black Metallic,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD133184,Charlie's Toyota,ME
2023,SE,Ice Cap,AWD,42340,0.0,42340.0,At dealer,False,Available,JTMAB3FV0PD133198,Torrington Toyota,CT
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD133217,Team Toyota of Princeton,NJ
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,At dealer,False,DealerHold,JTMAB3FV0PD133248,Down East Toyota,ME
2023,SE,Blueprint,AWD,42340,0.0,42340.0,Port to dealer,False,DealerHold,JTMAB3FV0PD133895,Toyota Universe,NJ
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,At dealer,False,DealerHold,JTMAB3FV0PD134092,Central Maine Toyota,ME
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,At dealer,True,DealerHold,JTMAB3FV0PD134190,Mountain States Toyota,CO
2023,SE,Supersonic Red,AWD,42340,0.0,42340.0,At dealer,False,,JTMAB3FV0PD134478,Claremont Toyota,CA
2023,SE,Magnetic Gray Metallic,AWD,42340,2495.0,44835.0,Port to dealer,False,Available,JTMAB3FV0PD134867,Toyota of Smithfield,RI
2023,SE,Midnight Black Metallic,AWD,42340,0.0,42340.0,Port to dealer,True,DealerHold,JTMAB3FV0PD135193,Mountain States Toyota,CO
2023,SE,Blueprint,AWD,42340,0.0,42340.0,Port to dealer,False,DealerHold,JTMAB3FV0PD135212,McGee Toyota,MA
2023,SE,Blueprint,AWD,42340,0.0,42340.0,Port to dealer,False,,JTMAB3FV0PD135517,Ira Toyota,MA
2023,SE,Blueprint,AWD,42340,0.0,42340.0,Port to dealer,False,,JTMAB3FV0PD135680,Curry Toyota,NY
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,Port to dealer,True,,JTMAB3FV0PD135758,Mungenast Alton Toyota,IL
2023,SE,Midnight Black Metallic,AWD,42340,0.0,42340.0,Port to dealer,True,DealerHold,JTMAB3FV0PD136019,Rudy Luther Toyota,MN
2023,SE,Silver Sky Metallic,AWD,42340,0.0,42340.0,Port to dealer,True,DealerHold,JTMAB3FV0PD136201,Toyota of Anaheim,CA
