Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Platinum,Supersonic Red,4x2,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA0PX002109,Fred Anderson Toyota of Asheville,NC
2023,Platinum,Magnetic Gray Metallic,4x2,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA0PX21B080,Philpott Toyota,TX
2023,Capstone,Magnetic Gray Metallic,4x2,76865,1098.0,77963.0,At dealer,False,Available,7SVAAAAA1PX002054,Toyota of Cedar Park,TX
2023,Platinum,Blueprint,4x2,72465,1098.0,73563.0,Factory to port,True,DealerHold,7SVAAAAA1PX002071,Toyota of Cedar Park,TX
2023,Platinum,Wind Chill Pearl,4x2,72465,0.0,72465.0,At dealer,False,DealerHold,7SVAAAAA1PX002085,Natchez Toyota,MS
2023,Limited,Blueprint,4x2,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA1PX002104,Texas Toyota of Grapevine,TX
2023,Platinum,Midnight Black Metallic,4x2,72465,0.0,72465.0,Factory to port,True,Available,7SVAAAAA1PX19A109,Greg Leblanc Toyota,LA
2023,Capstone,Supersonic Red,4x2,76865,0.0,76865.0,Factory to port,False,Available,7SVAAAAA1PX19D012,Franklin Toyota,GA
2023,Capstone,Supersonic Red,4x2,76865,0.0,76865.0,Factory to port,False,Available,7SVAAAAA1PX20A430,Pinehurst Toyota,NC
2023,Capstone,Celestial Silver Metallic,4x2,76865,0.0,76865.0,Factory to port,False,Available,7SVAAAAA1PX20C632,Jim Hudson Toyota,SC
2023,Limited,Wind Chill Pearl,4x2,66265,2391.0,68656.0,Factory to port,True,DealerHold,7SVAAAAA1PX21B797,Lake Charles Toyota,LA
2023,Platinum,Wind Chill Pearl,4x2,72465,0.0,72465.0,At dealer,True,Available,7SVAAAAA2PX002080,Supreme Toyota of Hammond,LA
2023,Limited,Ice Cap,4x2,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA2PX002094,LaGrange Toyota,GA
2023,Platinum,Supersonic Red,4x2,72465,0.0,72465.0,Factory to port,True,Available,7SVAAAAA2PX002127,Don McGill Toyota of Katy,TX
2023,Capstone,Midnight Black Metallic,4x2,76865,0.0,76865.0,Factory to port,False,Available,7SVAAAAA2PX19D018,World Toyota,GA
2023,Limited,Supersonic Red,4x2,66265,2190.0,68455.0,At dealer,False,DealerHold,7SVAAAAA3PX002086,Cannon Toyota,MS
2023,Platinum,Magnetic Gray Metallic,4x2,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA3PX20A381,Central Florida Toyota,FL
2023,Limited,Wind Chill Pearl,4x2,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA4PX002078,Al Hendrickson Toyota,FL
2023,Limited,Blueprint,4x2,66265,5895.0,72160.0,At dealer,True,Available,7SVAAAAA4PX002095,Mike Calvert Toyota,TX
2023,Platinum,Supersonic Red,4x2,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA4PX002100,Modern Toyota,NC
2023,Limited,Wind Chill Pearl,4x2,66265,2391.0,68656.0,Factory to port,False,DealerHold,7SVAAAAA4PX20A325,Lake Charles Toyota,LA
2023,Capstone,Supersonic Red,4x2,76865,0.0,76865.0,Factory to port,False,DealerHold,7SVAAAAA4PX20B183,Courtesy Toyota,FL
2023,Platinum,Wind Chill Pearl,4x2,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA4PX20C706,Prince Toyota,GA
2023,Platinum,Supersonic Red,4x2,72465,0.0,72465.0,At dealer,False,Available,7SVAAAAA5PX002008,Central Florida Toyota,FL
2023,Limited,Wind Chill Pearl,4x2,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA5PX002090,Toyota of Deerfield Beach,FL
2023,Capstone,Magnetic Gray Metallic,4x2,76865,2299.0,79164.0,At dealer,False,Available,7SVAAAAA7PX002057,Round Rock Toyota,TX
2023,Platinum,Wind Chill Pearl,4x2,72465,7995.0,80460.0,At dealer,False,Available,7SVAAAAA7PX002088,Bryan College Station Toyota,TX
2023,Capstone,Wind Chill Pearl,4x2,76865,0.0,76865.0,Factory to port,False,,7SVAAAAA7PX002091,Lugoff Toyota,SC
2023,Limited,Blueprint,4x2,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA7PX002107,Kirk Toyota,MS
2023,Platinum,Midnight Black Metallic,4x2,72465,5895.0,78360.0,Factory to port,True,DealerHold,7SVAAAAA7PX002110,Mike Calvert Toyota,TX
2023,Limited,Wind Chill Pearl,4x2,66265,0.0,66265.0,Factory to port,True,Available,7SVAAAAA7PX002124,Landers Toyota,AR
2023,Capstone,Celestial Silver Metallic,4x2,76865,0.0,76865.0,Factory to port,False,Available,7SVAAAAA7PX20D252,Panama City Toyota,FL
2023,Capstone,Supersonic Red,4x2,75300,2379.0,77679.0,At dealer,True,DealerHold,7SVAAAAA8PX001094,Gullo Toyota of Conroe,TX
2023,Limited,Magnetic Gray Metallic,4x2,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA8PX002097,Modern Toyota,NC
2023,Limited,Smoked Mesquite,4x2,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA8PX002102,Toyota of Greensboro,NC
2023,Platinum,Blueprint,4x2,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA8PX20B087,LaGrange Toyota,GA
2023,Platinum,Wind Chill Pearl,4x2,72465,0.0,72465.0,Factory to port,False,Available,7SVAAAAA8PX20B896,Peter Boulware Toyota,FL
2023,Limited,Wind Chill Pearl,4x2,66265,0.0,66265.0,Factory to port,False,Available,7SVAAAAA8PX20B915,Toyota of Tampa Bay,FL
2023,Limited,Supersonic Red,4x2,66265,9899.0,76164.0,Factory to port,False,Available,7SVAAAAA8PX21B165,Toyota of Pharr,TX
2023,Limited,Supersonic Red,4x2,66265,0.0,66265.0,At dealer,False,Available,7SVAAAAA9PX002013,Peter Boulware Toyota,FL
2023,Platinum,Celestial Silver Metallic,4x2,72465,0.0,72465.0,Factory to port,True,Available,7SVAAAAA9PX002125,AutoNation Toyota Corpus Christi,TX
2023,Platinum,Supersonic Red,4x2,72465,399.0,72864.0,Factory to port,False,Available,7SVAAAAA9PX18C596,Toyota of Paris,TX
2023,Capstone,Midnight Black Metallic,4x2,76865,0.0,76865.0,Factory to port,False,Available,7SVAAAAA9PX19B573,Wesley Chapel Toyota,FL
2023,Capstone,Magnetic Gray Metallic,4x2,76865,0.0,76865.0,Factory to port,False,Available,7SVAAAAA9PX20A370,Panama City Toyota,FL
2023,Platinum,Midnight Black Metallic,4x2,72465,20000.0,92465.0,Factory to port,False,Available,7SVAAAAAXPX002103,North Park Toyota of San Antonio,TX
2023,Limited,Wind Chill Pearl,4x4,67700,0.0,67700.0,At dealer,False,DealerHold,7SVAAABA0PX006434,Groove Toyota,CO
2023,Capstone,Magnetic Gray Metallic,4x4,78365,0.0,78365.0,Port to dealer,True,DealerHold,7SVAAABA0PX012007,Toyota West,OH
2023,TRD Pro,Solar Octane,4x4,76065,0.0,76065.0,At dealer,False,DealerHold,7SVAAABA0PX012024,Dan Cava's Toyota World,WV
2023,TRD Pro,Ice Cap,4x4,76065,0.0,76065.0,Port to dealer,True,DealerHold,7SVAAABA0PX012668,Island Toyota,NY
2023,SR5,Midnight Black Metallic,4x4,61365,0.0,61365.0,At dealer,True,DealerHold,7SVAAABA0PX012878,Romano Toyota,NY
2023,Capstone,Celestial Silver Metallic,4x4,78365,0.0,78365.0,At dealer,False,DealerHold,7SVAAABA0PX012931,Toyota of Selma,CA
2023,TRD Pro,Magnetic Gray Metallic,4x4,76065,0.0,76065.0,Port to dealer,True,,7SVAAABA0PX012945,Toyota of Erie,PA
2023,Limited,Smoked Mesquite,4x4,67765,0.0,67765.0,At dealer,False,Available,7SVAAABA0PX013190,Hamilton Toyota,NM
2023,TRD Pro,Midnight Black Metallic,4x4,76065,0.0,76065.0,Factory to port,False,DealerHold,7SVAAABA0PX013402,Fremont Toyota,CA
2023,TRD Pro,Magnetic Gray Metallic,4x4,77565,1599.0,79164.0,At dealer,False,Available,7SVAAABA0PX013495,Silsbee Toyota,TX
2023,TRD Pro,Midnight Black Metallic,4x4,76065,0.0,76065.0,At dealer,False,DealerHold,7SVAAABA0PX013593,Autoland Toyota,NJ
2023,TRD Pro,Solar Octane,4x4,76065,0.0,76065.0,Port to dealer,False,DealerHold,7SVAAABA0PX013710,Peruzzi Toyota,PA
2023,Capstone,Midnight Black Metallic,4x4,78365,0.0,78365.0,At dealer,False,Available,7SVAAABA0PX014002,Sheehy Toyota of Laurel,MD
2023,TRD Pro,Ice Cap,4x4,76065,0.0,76065.0,At dealer,False,DealerHold,7SVAAABA0PX014078,Millennium Toyota,NY
2023,Capstone,Wind Chill Pearl,4x4,78365,0.0,78365.0,Port to dealer,False,DealerHold,7SVAAABA0PX014095,Advantage Toyota,NY
2023,Limited,Smoked Mesquite,4x4,67765,0.0,67765.0,At dealer,True,DealerHold,7SVAAABA0PX014114,Superior Toyota,WV
2023,Capstone,Wind Chill Pearl,4x4,78365,0.0,78365.0,Port to dealer,False,DealerHold,7SVAAABA0PX014131,Westbury Toyota,NY
2023,Capstone,Midnight Black Metallic,4x4,78365,698.0,79063.0,At dealer,True,DealerHold,7SVAAABA0PX014145,Newbold Toyota,IL
2023,TRD Pro,Ice Cap,4x4,76065,0.0,76065.0,Port to dealer,False,DealerHold,7SVAAABA0PX014159,John Weiss' Toyota of South County,MO
2023,TRD Pro,Magnetic Gray Metallic,4x4,77565,0.0,77565.0,At dealer,False,,7SVAAABA0PX014243,Miracle Toyota,FL
2023,Limited,Blueprint,4x4,67765,299.0,68064.0,Port to dealer,False,DealerHold,7SVAAABA0PX014257,Team Toyota,PA
2023,Capstone,Magnetic Gray Metallic,4x4,78365,0.0,78365.0,Port to dealer,False,DealerHold,7SVAAABA0PX014260,Jim Coleman Toyota,MD
2023,TRD Pro,Midnight Black Metallic,4x4,76065,0.0,76065.0,Port to dealer,False,DealerHold,7SVAAABA0PX014310,Hall Toyota Virginia Beach,VA
2023,TRD Pro,Magnetic Gray Metallic,4x4,76065,0.0,76065.0,Port to dealer,False,DealerHold,7SVAAABA0PX014324,Della Toyota,NY
2023,TRD Pro,Magnetic Gray Metallic,4x4,76065,0.0,76065.0,Port to dealer,False,DealerHold,7SVAAABA0PX014372,"Molle Toyota, Inc.",MO
2023,Capstone,Celestial Silver Metallic,4x4,78365,0.0,78365.0,Port to dealer,False,DealerHold,7SVAAABA0PX014386,Dolan Toyota,NV
2023,Capstone,Magnetic Gray Metallic,4x4,78365,0.0,78365.0,Port to dealer,False,DealerHold,7SVAAABA0PX014422,355 Toyota,MD
2023,TRD Pro,Midnight Black Metallic,4x4,76065,0.0,76065.0,Port to dealer,False,DealerHold,7SVAAABA0PX014467,Zanesville Toyota,OH
2023,Platinum,Supersonic Red,4x4,73965,0.0,73965.0,At dealer,False,Available,7SVAAABA0PX014498,Toyota of Lincoln Park,IL
2023,Limited,Lunar Rock,4x4,67765,1790.0,69555.0,Port to dealer,False,DealerHold,7SVAAABA0PX014520,Liberty Toyota,NJ
