Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,LE,Midnight Black Metallic,FWD,36885,1495.0,38380.0,Port to dealer,True,DealerHold,5TDBRKEC1PS156228,Sterling McCall Toyota,TX
2023,LE,Ice Cap,FWD,36885,0.0,36885.0,At dealer,False,Available,5TDBRKEC1PS159551,Bev Smith Toyota,FL
2023,LE,Predawn Gray Mica,FWD,36135,0.0,36135.0,Port to dealer,False,DealerHold,5TDBRKEC1PS160361,Fordham Toyota,NY
2023,LE,Blueprint,FWD,36885,0.0,36885.0,Factory to port,False,,5TDBRKEC1PS21B605,Sunrise Toyota,NY
2023,LE,Ice Cap,FWD,36885,4795.0,41680.0,Port to dealer,True,Available,5TDBRKEC2PS156478,Universal Toyota,TX
2023,LE,Predawn Gray Mica,FWD,36135,0.0,36135.0,Port to dealer,False,DealerHold,5TDBRKEC2PS161258,Atlantic Toyota,NY
2023,LE,Ice Cap,FWD,36885,0.0,36885.0,Factory to port,False,Available,5TDBRKEC3PS22A564,Coggin Toyota at the Avenues,FL
2023,LE,Ice Cap,FWD,36135,0.0,36135.0,At dealer,False,,5TDBRKEC4PS161245,Oroville Toyota,CA
2023,LE,Ice Cap,FWD,36885,3490.0,40375.0,At dealer,True,Available,5TDBRKEC5PS156653,Toyota of Pharr,TX
2023,LE,Cypress,FWD,36135,0.0,36135.0,Port to dealer,True,DealerHold,5TDBRKEC5PS158807,Millennium Toyota,NY
2023,LE,Blueprint,FWD,36885,0.0,36885.0,Factory to port,False,Available,5TDBRKEC5PS21A019,Parks Toyota of Deland,FL
2023,LE,Blueprint,FWD,36135,0.0,36135.0,Port to dealer,True,,5TDBRKEC6PS156595,One Toyota of Oakland,CA
2023,LE,Ruby Flare Pearl,FWD,36885,0.0,36885.0,Port to dealer,True,DealerHold,5TDBRKEC6PS163420,Kenny Kent Toyota,IN
2023,LE,Celestial Silver Metallic,FWD,36885,0.0,36885.0,Factory to port,True,Available,5TDBRKEC6PS21B566,Eastern Shore Toyota,AL
2023,LE,Celestial Silver Metallic,FWD,36885,0.0,36885.0,Factory to port,False,Available,5TDBRKEC6PS22A087,Earl Stewart Toyota of North Palm Beach,FL
2023,LE,Predawn Gray Mica,FWD,36885,0.0,36885.0,Factory to port,True,,5TDBRKEC7PS21A362,Wilson Toyota,IA
2023,LE,Ice Cap,FWD,36885,0.0,36885.0,Factory to port,False,,5TDBRKEC7PS22A597,Toyota World of Lakewood,NJ
2023,LE,Predawn Gray Mica,FWD,36885,0.0,36885.0,At dealer,True,Available,5TDBRKEC8PS156484,"Phil Wright Toyota, Co.",AR
2023,LE,Midnight Black Metallic,FWD,36135,0.0,36135.0,Port to dealer,False,,5TDBRKEC8PS158560,Hillside Toyota,NY
2023,LE,Predawn Gray Mica,FWD,36885,0.0,36885.0,Factory to port,False,DealerHold,5TDBRKEC8PS21A256,Toyota of Greenville,SC
2023,LE,Predawn Gray Mica,FWD,36135,0.0,36135.0,At dealer,False,DealerHold,5TDBRKEC9PS161032,New Country Toyota of Westport,CT
2023,LE,Predawn Gray Mica,AWD,38135,0.0,38135.0,Port to dealer,False,DealerHold,5TDBSKFC1PS089794,Bergeron Toyota,MI
2023,LE,Celestial Silver Metallic,AWD,38885,0.0,38885.0,Factory to port,False,Available,5TDBSKFC2PS22A705,Rohrich Toyota,PA
2023,LE,Predawn Gray Mica,AWD,38885,0.0,38885.0,Port to dealer,False,DealerHold,5TDBSKFC5PS091550,Thousand Oaks Toyota,CA
2023,LE,Midnight Black Metallic,AWD,38135,0.0,38135.0,Port to dealer,True,DealerHold,5TDBSKFC6PS088592,Rudy Luther Toyota,MN
2023,LE,Predawn Gray Mica,AWD,38885,0.0,38885.0,Factory to port,False,DealerHold,5TDBSKFC6PS22B243,Toyota of Muncie,IN
2023,LE,Ice Cap,AWD,38885,0.0,38885.0,Factory to port,False,,5TDBSKFC7PS22A599,Bill Page Toyota,VA
2023,LE,Predawn Gray Mica,AWD,38885,0.0,38885.0,Factory to port,True,DealerHold,5TDBSKFC8PS22A708,Luther Brookdale Toyota,MN
2023,LE,Celestial Silver Metallic,AWD,38135,6990.0,45125.0,Port to dealer,False,DealerHold,5TDBSKFCXPS086599,Andrew Toyota,WI
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,47420,0.0,47420.0,Port to dealer,False,DealerHold,5TDCRKEC0PS154958,Toyota of Glendale,CA
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,48170,2877.0,51047.0,At dealer,True,DealerHold,5TDCRKEC0PS156399,Pat Lobb Toyota of McKinney,TX
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,47420,0.0,47420.0,Port to dealer,False,Available,5TDCRKEC1PS155813,Centennial Toyota,NV
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,48170,0.0,48170.0,Factory to port,True,DealerHold,5TDCRKEC1PS160896,Natchez Toyota,MS
2023,25th Anniversary Special Edition,Celestial Silver Metallic,FWD,47420,0.0,47420.0,Port to dealer,True,DealerHold,5TDCRKEC3PS159071,Johnson City Toyota,TN
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,47420,0.0,47420.0,Port to dealer,False,DealerHold,5TDCRKEC3PS160611,Centennial Toyota,NV
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,48170,0.0,48170.0,Port to dealer,True,,5TDCRKEC3PS162259,Toyota Town,CA
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,47420,0.0,47420.0,Port to dealer,True,DealerHold,5TDCRKEC4PS155207,Temecula Valley Toyota,CA
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,48170,0.0,48170.0,Port to dealer,True,DealerHold,5TDCRKEC4PS161413,Family Toyota of Burleson,TX
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,47420,0.0,47420.0,Port to dealer,True,DealerHold,5TDCRKEC6PS160232,Bayside Toyota,MD
2023,25th Anniversary Special Edition,Celestial Silver Metallic,FWD,47420,0.0,47420.0,At dealer,False,DealerHold,5TDCRKEC6PS161039,Toyota of Escondido,CA
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,48170,5895.0,54065.0,At dealer,True,DealerHold,5TDCRKEC6PS161400,Toyota of Midland,TX
2023,25th Anniversary Special Edition,Celestial Silver Metallic,FWD,47420,599.0,48019.0,At dealer,True,Available,5TDCRKEC8PS156036,Landers Toyota,AR
2023,25th Anniversary Special Edition,Celestial Silver Metallic,FWD,48170,2488.0,50658.0,Factory to port,True,DealerHold,5TDCRKEC8PS158921,Toyota of Plano,TX
2023,25th Anniversary Special Edition,Windchill Pearl,FWD,47420,0.0,47420.0,Port to dealer,False,DealerHold,5TDCRKEC8PS161348,Claremont Toyota,CA
2023,25th Anniversary Special Edition,Celestial Silver Metallic,FWD,47420,1978.0,49398.0,Factory to port,False,DealerHold,5TDCRKEC9PS156076,Chuck Hutton Toyota,TN
2023,25th Anniversary Special Edition,Celestial Silver Metallic,AWD,48180,0.0,48180.0,Factory to port,True,DealerHold,5TDCSKFC0PS086163,Walser Bloomington Toyota,MN
2023,25th Anniversary Special Edition,Windchill Pearl,AWD,48180,0.0,48180.0,Port to dealer,False,DealerHold,5TDCSKFC0PS086177,Butte Toyota,MT
2023,Woodland Edition,Cement,AWD,46945,0.0,46945.0,Port to dealer,False,DealerHold,5TDCSKFC0PS087555,Sansone Toyota,NJ
2023,Woodland Edition,Midnight Black Metallic,AWD,46945,0.0,46945.0,Port to dealer,False,DealerHold,5TDCSKFC0PS089094,355 Toyota,MD
2023,Woodland Edition,Cement,AWD,46945,0.0,46945.0,At dealer,False,DealerHold,5TDCSKFC0PS089158,Visalia Toyota,CA
2023,25th Anniversary Special Edition,Windchill Pearl,AWD,48180,0.0,48180.0,Port to dealer,True,DealerHold,5TDCSKFC0PS089399,Koons Easton Toyota,MD
2023,25th Anniversary Special Edition,Celestial Silver Metallic,AWD,48180,0.0,48180.0,At dealer,True,DealerHold,5TDCSKFC0PS089919,City Toyota,CA
2023,25th Anniversary Special Edition,Windchill Pearl,AWD,48180,1790.0,49970.0,Port to dealer,False,DealerHold,5TDCSKFC0PS089970,Liberty Toyota,NJ
2023,Woodland Edition,CEMENT,AWD,47695,5996.0,53691.0,Factory to port,False,Available,5TDCSKFC0PS091380,Vic Vaughan Toyota of Boerne,TX
