Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2022,A91-CF Edition,Absolute Zero,RWD,63280,0.0,63280.0,At dealer,True,DealerHold,WZ1DB0C04NW046394,Rohrich Toyota,PA
2023,3.0 Premium MT,Stratosphere,RWD,55650,0.0,55650.0,At dealer,False,Available,WZ1DB0G00PW056384,Northway Toyota,NY
2023,3.0 Premium MT,Stratosphere,RWD,56150,0.0,56150.0,Port to dealer,True,DealerHold,WZ1DB0G00PW059527,Heritage Toyota Owings Mills,MD
2023,3.0 Premium,Renaissance Red 2.0,RWD,56150,0.0,56150.0,Port to dealer,False,DealerHold,WZ1DB0G00PW059589,Westbury Toyota,NY
2023,3.0 Premium,Renaissance Red 2.0,RWD,56750,1387.0,58137.0,At dealer,True,Available,WZ1DB0G00PW059818,Longo Toyota of Prosper,TX
2023,3.0 Premium,Absolute Zero,RWD,56150,0.0,56150.0,Factory to port,False,,WZ1DB0G00PW061004,Baxter Toyota of Lincoln,NE
2023,3.0 Premium,Renaissance Red 2.0,RWD,56150,0.0,56150.0,Factory to port,False,Available,WZ1DB0G00PW061049,DCH Toyota of Torrance,CA
2023,3.0 Premium,Renaissance Red 2.0,RWD,56750,2895.0,59645.0,Factory to port,True,Available,WZ1DB0G00PW061083,Jim Norton Toyota,OK
2023,3.0 Premium,Nocturnal,RWD,56750,0.0,56750.0,Factory to port,False,DealerHold,WZ1DB0G00PW061147,Heritage Toyota,VT
2023,3.0 Premium,Nocturnal,RWD,56750,0.0,56750.0,Port to dealer,False,DealerHold,WZ1DB0G00PW061178,Toyota of Colchester,CT
2023,3.0 Premium MT,Absolute Zero,RWD,56750,0.0,56750.0,Factory to port,True,DealerHold,WZ1DB0G00PW061181,Culver City Toyota,CA
2023,3.0 Premium,Renaissance Red 2.0,RWD,56750,0.0,56750.0,Factory to port,True,Available,WZ1DB0G00PW061357,AutoNation Toyota Corpus Christi,TX
2023,3.0,Absolute Zero,RWD,53600,0.0,53600.0,Factory to port,False,DealerHold,WZ1DB0G00PW061388,Thousand Oaks Toyota,CA
2023,3.0 Premium MT,Absolute Zero,RWD,56750,0.0,56750.0,Factory to port,True,DealerHold,WZ1DB0G00PW061424,Toyota of Anaheim,CA
2023,3.0 Premium,Nocturnal,RWD,56750,0.0,56750.0,At dealer,False,,WZ1DB0G00PW061441,Team Toyota of Glen Mills,PA
2023,3.0 Premium MT,Absolute Zero,RWD,56750,0.0,56750.0,Port to dealer,True,DealerHold,WZ1DB0G00PW061519,Rudy Luther Toyota,MN
2023,3.0 Premium,Absolute Zero,RWD,56750,1397.0,58147.0,At dealer,True,DealerHold,WZ1DB0G00PW061536,DCH Wappingers Falls Toyota,NY
2023,3.0 MT,Stratosphere,RWD,53600,0.0,53600.0,Factory to port,False,,WZ1DB0G00PW061813,Malloy Toyota,VA
2023,3.0,Nocturnal,RWD,53600,0.0,53600.0,Factory to port,False,,WZ1DB0G00PW061973,Ardmore Toyota,PA
2023,3.0 Premium,Renaissance Red 2.0,RWD,56750,0.0,56750.0,Factory to port,False,,WZ1DB0G00PW062055,North Bakersfield Toyota,CA
