Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Limited,Midnight Black Metallic,4x2,51515,1995.0,53510.0,At dealer,False,Available,5TFJA5AB0PX024833,Cavender Toyota,TX
2023,Limited,Magnetic Gray Metallic,4x2,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB0PX027148,Fred Anderson Toyota of Asheville,NC
2023,Limited,Celestial Silver Metallic,4x2,52615,1795.0,54410.0,At dealer,False,Available,5TFJA5AB0PX027487,Universal Toyota,TX
2023,Limited,Ice Cap,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB0PX027618,Walker-Jones Toyota,GA
2023,Limited,Ice Cap,4x2,52615,0.0,52615.0,At dealer,False,,5TFJA5AB0PX027697,Penske Toyota,CA
2023,Limited,Midnight Black Metallic,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB0PX027733,Butler Toyota,GA
2023,Limited,Midnight Black Metallic,4x2,52615,5495.0,58110.0,At dealer,False,Available,5TFJA5AB0PX027831,Toyota of Pharr,TX
2023,Limited,Midnight Black Metallic,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB0PX028087,Toyota of Tampa Bay,FL
2023,Limited,Celestial Silver Metallic,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB0PX028350,Nalley Toyota Union City,GA
2023,Limited,Army Green,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB0PX028509,Vic Vaughan Toyota of Boerne,TX
2023,Limited,Lunar Rock,4x2,52615,1290.0,53905.0,Factory to port,False,,5TFJA5AB0PX23A044,Toyota of Redlands,CA
2023,Limited,Ice Cap,4x2,52615,2299.0,54914.0,Factory to port,False,Available,5TFJA5AB0PX23B923,Round Rock Toyota,TX
2023,Limited,Magnetic Gray Metallic,4x2,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB1PX027482,Springhill Toyota,AL
2023,Limited,Magnetic Gray Metallic,4x2,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB1PX027868,J. Allen Toyota,MS
2023,Limited,Magnetic Gray Metallic,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB1PX028082,Pitts Toyota,GA
2023,Limited,Celestial Silver Metallic,4x2,52615,0.0,52615.0,Factory to port,True,Available,5TFJA5AB1PX028146,Scott Clark Toyota,NC
2023,Limited,Ice Cap,4x2,52615,0.0,52615.0,Port to dealer,True,DealerHold,5TFJA5AB1PX028261,Toyota Chula Vista,CA
2023,Limited,Magnetic Gray Metallic,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB1PX028311,Palm Beach Toyota,FL
2023,Limited,Blueprint,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB1PX028552,North Park Toyota of San Antonio,TX
2023,Limited,Blueprint,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB1PX20A924,Town & Country Toyota,NC
2023,Limited,Wind Chill Pearl,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB1PX22A543,LaGrange Toyota,GA
2023,Limited,Magnetic Gray Metallic,4x2,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX027491,Phillips Toyota,FL
2023,Limited,Magnetic Gray Metallic,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB2PX027605,Seminole Toyota,FL
2023,Limited,Blueprint,4x2,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX027779,Scott Will Toyota of Sumter,SC
2023,Limited,Blueprint,4x2,52615,0.0,52615.0,At dealer,False,Available,5TFJA5AB2PX027894,Southern 441 Toyota,FL
2023,Limited,Army Green,4x2,52615,0.0,52615.0,At dealer,False,,5TFJA5AB2PX027944,Toyota of San Bernardino,CA
2023,Limited,Army Green,4x2,52615,0.0,52615.0,At dealer,False,,5TFJA5AB2PX027992,Toyota of The Desert,CA
2023,Limited,Blueprint,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB2PX028074,Fred Haas Toyota World,TX
2023,Limited,Army Green,4x2,52615,0.0,52615.0,Port to dealer,False,Available,5TFJA5AB2PX028107,Fred Haas Toyota World,TX
2023,Limited,Army Green,4x2,52615,0.0,52615.0,Port to dealer,False,,5TFJA5AB2PX028124,Toyota of North Hollywood,CA
2023,Limited,Ice Cap,4x2,52615,0.0,52615.0,Factory to port,False,Available,5TFJA5AB2PX028561,Hendrick Toyota North Charleston,SC
2023,Limited,Magnetic Gray Metallic,4x2,52615,3117.0,55732.0,Factory to port,False,,5TFJA5AB2PX21C399,Norm Reeves Toyota San Diego,CA
2023,Limited,Ice Cap,4x2,52615,988.0,53603.0,Factory to port,True,Available,5TFJA5AB2PX21C449,Longo Toyota of Prosper,TX
