Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,Tundra Limited,Ice Cap,4x2,54915,0.0,54915.0,At dealer,False,Available,5TFJC5AB0PX002339,Oakbrook Toyota in Westmont,IL
2023,Tundra Limited,Magnetic Gray Metallic,4x2,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB0PX002583,Springhill Toyota,AL
2023,Tundra Limited,Midnight Black Metallic,4x2,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB0PX002597,Mark Jacobson Toyota,NC
2023,Tundra Limited,Celestial Silver Metallic,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB0PX002633,Town & Country Toyota,NC
2023,Tundra Limited,Wind Chill Pearl,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB0PX002647,Pat Lobb Toyota of McKinney,TX
2023,Tundra Limited,Supersonic Red,4x2,56415,1495.0,57910.0,At dealer,False,Available,5TFJC5AB0PX002714,Loving Toyota,TX
2023,Tundra Limited,Supersonic Red,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB0PX002731,Vandergriff Toyota,TX
2023,Tundra Limited,Magnetic Gray Metallic,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB0PX002759,Jim Ellis Toyota of McDonough,GA
2023,Tundra Limited,Wind Chill Pearl,4x2,56415,0.0,56415.0,Port to dealer,False,,5TFJC5AB0PX002793,Antioch Toyota,CA
2023,Tundra Limited,Wind Chill Pearl,4x2,56415,2980.0,59395.0,Factory to port,False,DealerHold,5TFJC5AB0PX002812,Joe Myers Toyota,TX
2023,Tundra Limited,Midnight Black Metallic,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB0PX21C427,AutoNation Toyota Mall of Georgia,GA
2023,Tundra Limited,Blueprint,4x2,56415,1495.0,57910.0,At dealer,False,Available,5TFJC5AB1PX002639,Sterling McCall Toyota,TX
2023,Tundra Limited,Blueprint,4x2,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB1PX002673,Fred Haas Toyota World,TX
2023,Tundra Limited,Blueprint,4x2,56415,1599.0,58014.0,At dealer,False,Available,5TFJC5AB1PX002687,Silsbee Toyota,TX
2023,Tundra Limited,Supersonic Red,4x2,56415,0.0,56415.0,Port to dealer,False,Available,5TFJC5AB1PX002737,Fred Haas Toyota World,TX
2023,Tundra Limited,Celestial Silver Metallic,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB1PX002754,Heyward Allen Toyota,GA
2023,Tundra Limited,Magnetic Gray Metallic,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB1PX002771,Lakeland Toyota,FL
2023,Tundra Limited,Blueprint,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB1PX002821,Toyota of Dallas,TX
2023,Tundra Limited,Blueprint,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB1PX002835,Bruner Toyota,TX
2023,Tundra Limited,Wind Chill Pearl,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB1PX002849,Toyota of Plano,TX
2023,Tundra Limited,Celestial Silver Metallic,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB1PX21A606,Scott Clark Toyota,NC
2023,Tundra Limited,Celestial Silver Metallic,4x2,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002617,Toyota of Greenville,SC
2023,Tundra Limited,Smoked Mesquite,4x2,56415,1995.0,58410.0,At dealer,False,Available,5TFJC5AB2PX002634,Cavender Toyota,TX
2023,Tundra Limited,Smoked Mesquite,4x2,56415,1495.0,57910.0,At dealer,False,Available,5TFJC5AB2PX002648,Sterling McCall Toyota,TX
2023,Tundra Limited,Midnight Black Metallic,4x2,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002665,John Eagle Sport City Toyota,TX
2023,Tundra Limited,Celestial Silver Metallic,4x2,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002701,Serra Toyota of Decatur,AL
2023,Tundra Limited,Celestial Silver Metallic,4x2,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002715,Rick Hendrick Toyota Sandy Springs,GA
2023,Tundra Limited,Celestial Silver Metallic,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB2PX002732,Bob Tyler Toyota,FL
2023,Tundra Limited,Celestial Silver Metallic,4x2,56415,0.0,56415.0,Factory to port,True,DealerHold,5TFJC5AB2PX002780,Toyota of Irving,TX
2023,Tundra Limited,Magnetic Gray Metallic,4x2,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB2PX002794,Mike Calvert Toyota,TX
2023,Tundra Limited,Supersonic Red,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB2PX002844,North Park Toyota of San Antonio,TX
2023,Tundra Limited,Magnetic Gray Metallic,4x2,56415,0.0,56415.0,Factory to port,False,Available,5TFJC5AB2PX20A599,Heyward Allen Toyota,GA
2023,Tundra Limited,Smoked Mesquite,4x2,56415,0.0,56415.0,At dealer,False,Available,5TFJC5AB3PX002576,Milton Ruben Toyota of Augusta,GA
2023,Tundra Limited,Wind Chill Pearl,4x2,56415,1895.0,58310.0,At dealer,False,Available,5TFJC5AB3PX002657,Jim Norton Toyota of Oklahoma City,OK
