Year,Model,Color,Drivetrain,Base MSRP,Markup,Dealer Price,Shipping Status,Pre-Sold,Hold Status,VIN,Dealer,Dealer State
2023,XLE,Titanium Glow,AWD,38330,0.0,38330.0,At dealer,False,Available,JTEAAAAH0PJ131683,K-M Toyota,MA
2023,Limited,Wind Chill Pearl,AWD,42265,0.0,42265.0,Port to dealer,False,,JTEAAAAH0PJ132140,Toyota of Mankato,MN
2023,Limited,Wind Chill Pearl,AWD,42265,0.0,42265.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ132218,Ed Martin Toyota,IN
2023,Nightshade Edition,Celestial Black,AWD,39455,0.0,39455.0,Factory to port,False,Available,JTEAAAAH0PJ132431,Ed Morse Delray Toyota,FL
2023,Limited,Celestial Black,AWD,42265,0.0,42265.0,At dealer,False,,JTEAAAAH0PJ132493,Penn Toyota,NY
2023,Nightshade Edition,Wind Chill Pearl,AWD,39955,0.0,39955.0,At dealer,False,Available,JTEAAAAH0PJ132526,Franklin Toyota,GA
2023,XLE,Blueprint,AWD,38330,0.0,38330.0,At dealer,True,Available,JTEAAAAH0PJ132560,Byers Toyota,OH
2023,Limited,Coastal Gray Metallic,AWD,42265,0.0,42265.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ132686,Thornhill Toyota,WV
2023,Limited,Titanium Glow,AWD,42765,1098.0,43863.0,Factory to port,True,DealerHold,JTEAAAAH0PJ132767,Toyota of Cedar Park,TX
2023,LE,Wind Chill Pearl,AWD,34120,0.0,34120.0,Port to dealer,False,,JTEAAAAH0PJ132865,Bayside Toyota,MD
2023,Limited,Coastal Gray Metallic,AWD,42265,0.0,42265.0,At dealer,True,DealerHold,JTEAAAAH0PJ132915,Bennett Toyota of Lebanon,PA
2023,Limited,Titanium Glow,AWD,42765,0.0,42765.0,At dealer,False,Available,JTEAAAAH0PJ132929,Walker-Jones Toyota,GA
2023,Limited,Blueprint,AWD,42265,0.0,42265.0,At dealer,False,DealerHold,JTEAAAAH0PJ132977,Koch 33 Toyota,PA
2023,Limited,Titanium Glow,AWD,42265,0.0,42265.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ133031,St. Charles Toyota,IL
2023,XLE,Titanium Glow,AWD,38330,0.0,38330.0,Port to dealer,True,,JTEAAAAH0PJ133126,Toyota South,KY
2023,Limited,Ruby Flare Pearl,AWD,42265,0.0,42265.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ133143,South Hills Toyota,PA
2023,LE,Black,AWD,34120,0.0,34120.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ133160,Toyota of Lincolnwood,IL
2023,Limited,Titanium Glow,AWD,42265,0.0,42265.0,At dealer,True,DealerHold,JTEAAAAH0PJ133191,McGeorge Toyota,VA
2023,XLE,Celestial Black,AWD,38330,0.0,38330.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ133207,"Bristol Toyota, Inc.",MA
2023,LE,Black,AWD,34120,0.0,34120.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ133210,Lou Fusz Toyota,MO
2023,Limited,Ruby Flare Pearl,AWD,42765,0.0,42765.0,Factory to port,True,DealerHold,JTEAAAAH0PJ133272,Toyota of Ardmore,OK
2023,Nightshade Edition,Celestial Black,AWD,39455,0.0,39455.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ133286,Rick Collins Toyota,IA
2023,Limited,Blueprint,AWD,42765,0.0,42765.0,Factory to port,True,Available,JTEAAAAH0PJ133305,Landers Toyota,AR
2023,XLE,Wind Chill Pearl,AWD,38830,0.0,38830.0,Factory to port,True,DealerHold,JTEAAAAH0PJ133336,Mac Haik Toyota,TX
2023,Limited,Titanium Glow,AWD,42765,0.0,42765.0,Factory to port,True,DealerHold,JTEAAAAH0PJ133370,Poe Toyota,TX
2023,XLE,Ruby Flare Pearl,AWD,38330,0.0,38330.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ133417,Victory Toyota,MI
2023,LE,Ruby Flare Pearl,AWD,34120,0.0,34120.0,Port to dealer,False,Available,JTEAAAAH0PJ133434,Toyota of Lincoln Park,IL
2023,Limited,Celestial Black,AWD,42265,0.0,42265.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ133479,Toyota of Massapequa,NY
2023,XLE,Blueprint,AWD,38330,0.0,38330.0,Factory to port,False,DealerHold,JTEAAAAH0PJ133529,Toyota of Nashua,NH
2023,Limited,Ruby Flare Pearl,AWD,42265,0.0,42265.0,At dealer,False,DealerHold,JTEAAAAH0PJ133630,Peterson Toyota,ID
2023,XLE,Blueprint,AWD,38330,0.0,38330.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ133708,Fred Beans Toyota of Flemington,NJ
2023,Nightshade Edition,Celestial Black,AWD,39955,0.0,39955.0,Factory to port,False,Available,JTEAAAAH0PJ133739,Toyota of North Charlotte,NC
2023,Limited,Wind Chill Pearl,AWD,42265,0.0,42265.0,At dealer,False,,JTEAAAAH0PJ133742,Hamer Toyota,CA
2023,LE,Wind Chill Pearl,AWD,34120,0.0,34120.0,At dealer,False,Available,JTEAAAAH0PJ133790,Stevens Creek Toyota,CA
2023,XLE,Celestial Black,AWD,38330,0.0,38330.0,Port to dealer,False,,JTEAAAAH0PJ133823,Nelson Toyota,VA
2023,Limited,Wind Chill Pearl,AWD,42265,0.0,42265.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ133837,North Bakersfield Toyota,CA
2023,Limited,Wind Chill Pearl,AWD,42265,0.0,42265.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ133840,Toyota of Laramie,WY
2023,Nightshade Edition,Wind Chill Pearl,AWD,39955,0.0,39955.0,Factory to port,False,DealerHold,JTEAAAAH0PJ133921,Courtesy Toyota,FL
2023,Limited,Wind Chill Pearl,AWD,42265,0.0,42265.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ133935,Tustin Toyota,CA
2023,Nightshade Edition,Wind Chill Pearl,AWD,39455,0.0,39455.0,Port to dealer,False,,JTEAAAAH0PJ133949,Future Toyota of Yuba City,CA
2023,Limited,Wind Chill Pearl,AWD,42265,0.0,42265.0,Port to dealer,False,,JTEAAAAH0PJ133997,Bill Wright Toyota,CA
2023,Nightshade Edition,Wind Chill Pearl,AWD,39455,0.0,39455.0,At dealer,True,DealerHold,JTEAAAAH0PJ134048,City Toyota,CA
2023,Limited,Coastal Gray Metallic,AWD,42265,0.0,42265.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ134065,Rudy Luther Toyota,MN
2023,Limited,Coastal Gray Metallic,AWD,42265,0.0,42265.0,At dealer,False,DealerHold,JTEAAAAH0PJ134079,David Wilson's Toyota and Scion of Las Vegas,NV
2023,XLE,Coastal Gray Metallic,AWD,38330,0.0,38330.0,Port to dealer,True,Available,JTEAAAAH0PJ134096,Toyota of Murray,KY
2023,LE,Wind Chill Pearl,AWD,34120,0.0,34120.0,Factory to port,True,,JTEAAAAH0PJ134101,Star Toyota of Bayside,NY
2023,Nightshade Edition,Ruby Flare Pearl,AWD,39955,0.0,39955.0,Factory to port,False,Available,JTEAAAAH0PJ134163,Toyota of Vero Beach,FL
2023,Limited,Coastal Gray Metallic,AWD,42265,0.0,42265.0,Factory to port,False,,JTEAAAAH0PJ134180,Ball Toyota of Charleston,WV
2023,Nightshade Edition,Celestial Black,AWD,39955,0.0,39955.0,Factory to port,False,Available,JTEAAAAH0PJ134194,Cloninger Toyota,NC
2023,Limited,Blueprint,AWD,42265,395.0,42660.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ134261,Toyota of Olympia,WA
2023,Limited,Coastal Gray Metallic,AWD,42265,0.0,42265.0,Port to dealer,False,,JTEAAAAH0PJ134292,Toyota Place,CA
2023,Nightshade Edition,Wind Chill Pearl,AWD,39455,0.0,39455.0,Port to dealer,False,,JTEAAAAH0PJ134308,Hanlees Toyota,CA
2023,XLE,Black,AWD,38330,0.0,38330.0,Factory to port,False,,JTEAAAAH0PJ134339,Sloane Toyota of Glenside,PA
2023,Limited,Wind Chill Pearl,AWD,42265,0.0,42265.0,Factory to port,False,DealerHold,JTEAAAAH0PJ134356,Heritage Toyota,VT
2023,Limited,Coastal Gray Metallic,AWD,42765,0.0,42765.0,Factory to port,True,Available,JTEAAAAH0PJ134373,Cherokee County Toyota,GA
2023,Nightshade Edition,Wind Chill Pearl,AWD,39455,0.0,39455.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ134387,Heartland Toyota,WA
2023,Limited,Celestial Black,AWD,42265,0.0,42265.0,Factory to port,True,DealerHold,JTEAAAAH0PJ134390,Hoffman Toyota,CT
2023,Limited,Celestial Black,AWD,42265,0.0,42265.0,Factory to port,True,DealerHold,JTEAAAAH0PJ134423,Toyota of Batavia,NY
2023,Limited,Celestial Black,AWD,42265,895.0,43160.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ134454,Andrew Toyota,WI
2023,Limited,Coastal Gray Metallic,AWD,42265,0.0,42265.0,Factory to port,True,DealerHold,JTEAAAAH0PJ134468,Ira Toyota,MA
2023,Limited,Coastal Gray Metallic,AWD,42265,0.0,42265.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ134518,Toyota Chula Vista,CA
2023,XLE,Ruby Flare Pearl,AWD,38330,0.0,38330.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ134521,Jeff Wyler Toyota of Clarksville,IN
2023,XLE,Wind Chill Pearl,AWD,38330,0.0,38330.0,Factory to port,False,DealerHold,JTEAAAAH0PJ134552,Boch Toyota,MA
2023,XLE,Coastal Gray Metallic,AWD,38330,0.0,38330.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ134597,Stevens Creek Toyota,CA
2023,LE,Coastal Gray Metallic,AWD,34120,0.0,34120.0,Factory to port,False,DealerHold,JTEAAAAH0PJ134633,Tri County Toyota,PA
2023,Limited,Titanium Glow,AWD,42765,3990.0,46755.0,Factory to port,False,DealerHold,JTEAAAAH0PJ134650,Gateway Toyota,NJ
2023,XLE,Wind Chill Pearl,AWD,38830,0.0,38830.0,Factory to port,False,DealerHold,JTEAAAAH0PJ134681,Sloane Toyota of Malvern,PA
2023,Limited,Wind Chill Pearl,AWD,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ134714,Thousand Oaks Toyota,CA
2023,Limited,Coastal Gray Metallic,AWD,42765,0.0,42765.0,Factory to port,False,,JTEAAAAH0PJ134728,Right Toyota,AZ
2023,LE,Wind Chill Pearl,AWD,34620,0.0,34620.0,Port to dealer,False,,JTEAAAAH0PJ134731,Concord Toyota,CA
2023,Limited,Titanium Glow,AWD,42765,0.0,42765.0,Port to dealer,False,,JTEAAAAH0PJ134759,Kokomo Toyota,IN
2023,XLE,Coastal Gray Metallic,AWD,38830,0.0,38830.0,Factory to port,False,,JTEAAAAH0PJ134762,Lia Toyota of Northampton,MA
2023,Limited,Wind Chill Pearl,AWD,42765,0.0,42765.0,Factory to port,False,Available,JTEAAAAH0PJ134809,Nalley Toyota of Roswell,GA
2023,Nightshade Edition,Ruby Flare Pearl,AWD,39955,0.0,39955.0,Port to dealer,False,,JTEAAAAH0PJ134826,San Francisco Toyota,CA
2023,XLE,Celestial Black,AWD,38830,0.0,38830.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ134857,Freeman Toyota,CA
2023,XLE,Ruby Flare Pearl,AWD,38830,0.0,38830.0,Factory to port,False,Available,JTEAAAAH0PJ134888,Toyota of Fort Walton Beach,FL
2023,Limited,Titanium Glow,AWD,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ134891,"Molle Toyota, Inc.",MO
2023,Limited,Coastal Gray Metallic,AWD,42765,3568.0,46333.0,Factory to port,False,,JTEAAAAH0PJ134924,Bell Road Toyota,AZ
2023,Limited,Titanium Glow,AWD,42765,0.0,42765.0,Factory to port,False,,JTEAAAAH0PJ134941,Younger Toyota,MD
2023,Limited,Coastal Gray Metallic,AWD,42765,0.0,42765.0,Factory to port,False,,JTEAAAAH0PJ134955,Loyalty Toyota,VA
2023,Limited,Coastal Gray Metallic,AWD,42765,0.0,42765.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ135006,Peppers Toyota,TN
2023,Limited,Celestial Black,AWD,42765,0.0,42765.0,Factory to port,False,Available,JTEAAAAH0PJ135040,Cox Toyota,NC
2023,Nightshade Edition,Wind Chill Pearl,AWD,39955,0.0,39955.0,Port to dealer,False,,JTEAAAAH0PJ135054,Maita's Toyota of Sacramento,CA
2023,Limited,Blueprint,AWD,42765,0.0,42765.0,Port to dealer,True,DealerHold,JTEAAAAH0PJ135068,Mark Toyota of Plover,WI
2023,Limited,Coastal Gray Metallic,AWD,42765,0.0,42765.0,Factory to port,False,DealerHold,JTEAAAAH0PJ135085,Claremont Toyota,CA
2023,Limited,Titanium Glow,AWD,42765,0.0,42765.0,Factory to port,False,Available,JTEAAAAH0PJ135099,Prestige Toyota of Ramsey,NJ
2023,Limited,Coastal Gray Metallic,AWD,42765,0.0,42765.0,Factory to port,False,,JTEAAAAH0PJ135104,Del Toyota,PA
2023,XLE,Wind Chill Pearl,AWD,38830,0.0,38830.0,Factory to port,False,,JTEAAAAH0PJ135121,Toyota of Scranton,PA
2023,XLE,Black,AWD,38830,0.0,38830.0,Port to dealer,True,,JTEAAAAH0PJ135149,San Francisco Toyota,CA
2023,Limited,Celestial Black,AWD,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ135152,Marina Del Rey Toyota,CA
2023,Limited,Titanium Glow,AWD,42765,899.0,43664.0,Port to dealer,True,,JTEAAAAH0PJ135183,Walker Toyota,OH
2023,LE,Coastal Gray Metallic,AWD,34620,0.0,34620.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ135197,Toyota Walnut Creek,CA
2023,Limited,Celestial Black,AWD,42765,0.0,42765.0,Factory to port,False,,JTEAAAAH0PJ135278,Route 22 Toyota,NJ
2023,Limited,Coastal Gray Metallic,AWD,42765,0.0,42765.0,Port to dealer,False,,JTEAAAAH0PJ135295,Pauly Toyota,IL
2023,XLE,Titanium Glow,AWD,38830,0.0,38830.0,Factory to port,False,DealerHold,JTEAAAAH0PJ135314,Toyota of Portsmouth,NH
2023,Limited,Titanium Glow,AWD,42765,1990.0,44755.0,Port to dealer,True,,JTEAAAAH0PJ135328,East Madison Toyota,WI
2023,Nightshade Edition,Wind Chill Pearl,AWD,39955,0.0,39955.0,Port to dealer,False,,JTEAAAAH0PJ135331,Penske Toyota,CA
2023,Limited,Titanium Glow,AWD,42765,0.0,42765.0,Factory to port,False,DealerHold,JTEAAAAH0PJ135362,Thornhill Toyota,WV
2023,Limited,Wind Chill Pearl,AWD,42765,0.0,42765.0,Port to dealer,False,DealerHold,JTEAAAAH0PJ135376,Jerry Ackerman Toyota,MO
